product_code,liking,liking_free_text,meets_expectation,meets_expectation_free_text,product_improvement_free_text,liking_free_text_no_punc_tokenized_no_stop_lemm,meets_expectation_free_text_no_punc_tokenized_no_stop_lemm,product_improvement_free_text_no_punc_tokenized_no_stop_lemm,like_compound,meets_expectation_compound,prod_improve_compound
BBQ - Test 13,5,I think the texture and crunch is pretty nice. There is a little  heat  after tasting that I kind of enjoy.,2,"I feel the promise of the flavor wasn't there enough. The texture and crunch was nice, better than the average bar, but only the salt was there enough to be  good  for me. I wanted a clearer BBQ taste.","The BBQ taste for me is only detectable in the aftertaste. I get a sense of salt and I like the texture, but the BBQ flavor is lost in the ingredients or the configuration. And then a bit later I have the aftertaste, which is kind of strong, but it makes me wish I had that flavor upfront in the original bite.","['think', 'texture', 'crunch', 'pretty', 'nice', 'little', 'heat', 'taste', 'kind', 'enjoy']","['feel', 'promise', 'flavor', 'wasnt', 'enough', 'texture', 'crunch', 'nice', 'good', 'average', 'bar', 'salt', 'enough', 'good', 'want', 'clearer', 'bbq', 'taste']","['bbq', 'taste', 'detectable', 'aftertaste', 'get', 'sense', 'salt', 'like', 'texture', 'bbq', 'flavor', 'lose', 'ingredient', 'configuration', 'bit', 'later', 'aftertaste', 'kind', 'strong', 'make', 'wish', 'flavor', 'upfront', 'original', 'bite']",0.8363,0.81,0.8523
BBQ - Test 14,7,"This one is a bit more crunchy. It is at the edge of hardness. I wouldn't want it harder. The BBQ taste is a little more upfront, which I like. The texture and crunch is pretty nice overall.",3,I think the texture and ingredient taste is slightly above average and the BBQ at or slightly below expectation. It hints at what I wants but I feel the first product hits the mix a bit better.,"A little less crunchy (by like 5-10%), a little more upfront flavor but a little more sweet than hot. The hot aftertaste is just a tad higher than I would like. I would LOVE some honey or similar sweet flavor in there.","['one', 'bit', 'crunchy', 'edge', 'hardness', 'wouldnt', 'want', 'harder', 'bbq', 'taste', 'little', 'upfront', 'like', 'texture', 'crunch', 'pretty', 'nice', 'overall']","['think', 'texture', 'ingredient', 'taste', 'slightly', 'average', 'bbq', 'slightly', 'expectation', 'hint', 'want', 'feel', 'first', 'product', 'hit', 'mix', 'bit', 'well']","['little', 'less', 'crunchy', 'like', '510', 'little', 'upfront', 'flavor', 'little', 'sweet', 'hot', 'hot', 'aftertaste', 'tad', 'high', 'would', 'like', 'would', 'love', 'honey', 'similar', 'sweet', 'flavor']",0.8197,0.5927,0.9658
BBQ - Control (Texas BBQ),4,The crunch,2,The smoky taste is too over powering.,Less salty and too much of a flavor roller coaster.,['crunch'],"['smoky', 'taste', 'powering']","['less', 'salty', 'much', 'flavor', 'roller', 'coaster']",0,0,0
BBQ - Test 13,3,The crunch of the bar.,2,The smoky flavor is too strong and the bar leaves a strange aftertaste in my mouth.,The flavor.,"['crunch', 'bar']","['smoky', 'flavor', 'strong', 'bar', 'leaf', 'strange', 'aftertaste', 'mouth']",['flavor'],0,0.3612,0
BBQ - Test 14,7,The crunch and the bar looks tasty.,3,The flavor is good but could be better.,The smoky flavor is still a little too strong; theres more of a peanut butter flavor.,"['crunch', 'bar', 'look', 'tasty']","['flavor', 'good', 'could', 'better']","['smoky', 'flavor', 'still', 'little', 'strong', 'there\x92s', 'peanut', 'butter', 'flavor']",0,0.7003,0.4627
BBQ - Control (Texas BBQ),3,Its crunchy. Packaging makes its an easy snack for on the go. It is something unique that I've not had before. Flavor reminds me of bbq chips.,3,I didn't have expectations other than the label that it was BBQ. I enjoy bbq flavor sauce and chips so I was interested in trying.  I don't know that I would choose this product over a chip product.,The orange tint makes it look burnt. Breaks apart easily and is very messy.,"['crunchy', 'packaging', 'make', 'easy', 'snack', 'go', 'something', 'unique', 'ive', 'flavor', 'remind', 'bbq', 'chip']","['didnt', 'expectation', 'label', 'bbq', 'enjoy', 'bbq', 'flavor', 'sauce', 'chip', 'interested', 'try', 'dont', 'know', 'would', 'choose', 'product', 'chip', 'product']","['orange', 'tint', 'make', 'look', 'burnt', 'break', 'apart', 'easily', 'messy']",0.4404,0.7334,-0.101
BBQ - Test 13,6,I like the flavor better. reminds me of Lays bbq chips. The after taste hangs around more.  The peanuts in this one also have a dominant taste.,3,I compared it with the first trial I did so I had a better expectation this time.  I liked the lingering flavor of this bar.,The look of it.  The color of it is unnatural. It did fall apart more but I liked how it was softer to chew.,"['like', 'flavor', 'well', 'remind', 'lays', 'bbq', 'chip', 'taste', 'hang', 'around', 'peanut', 'one', 'also', 'dominant', 'taste']","['compare', 'first', 'trial', 'well', 'expectation', 'time', 'like', 'linger', 'flavor', 'bar']","['look', 'color', 'unnatural', 'fall', 'apart', 'like', 'soft', 'chew']",0.6597,0.7165,0.627
BBQ - Test 14,2,I do like the crunchiness. I also stayed together better and wasn't as messy.,1,The flavor is immediately gone.  It also doesn't have as much flavor as the other samples.,The appearance isn't appealing. The flavor doesn't linger at all.,"['like', 'crunchiness', 'also', 'stay', 'together', 'good', 'wasnt', 'messy']","['flavor', 'immediately', 'go', 'also', 'doesnt', 'much', 'flavor', 'sample']","['appearance', 'isnt', 'appeal', 'flavor', 'doesnt', 'linger']",0.7587,0,0
BBQ - Control (Texas BBQ),7,The crunchiness and the taste.,3,From the first sight and the aroma it fit right where I thought it would be taste wise.,A little more sweetness maybe and the appearance is a bit drab.,"['crunchiness', 'taste']","['first', 'sight', 'aroma', 'fit', 'right', 'thought', 'would', 'taste', 'wise']","['little', 'sweetness', 'maybe', 'appearance', 'bit', 'drab']",0,0.6808,0.4964
BBQ - Test 13,6,I like the crunchiness and and the taste a little bit.,3,It just looked and tasted like I thought it was going to be.,Maybe a different appearance.,"['like', 'crunchiness', 'taste', 'little', 'bit']","['look', 'taste', 'like', 'thought', 'go']","['maybe', 'different', 'appearance']",0.3612,0.3612,0
BBQ - Test 14,7,I liked the taste and texture of this one.,4,This one tasted a bit better to me than the last two.,A small change to appearance maybe.,"['like', 'taste', 'texture', 'one']","['one', 'tasted', 'bit', 'well', 'last', 'two']","['small', 'change', 'appearance', 'maybe']",0.4215,0.4404,0
BBQ - Control (Texas BBQ),9,What I like about this product is the flavors and texture of the ingredients and freshness.,3,The product met my expectations for the product because I was expecting a barbecue flavor that was not that strong.,I would add more flavors and combinations to people's liking.,"['like', 'product', 'flavor', 'texture', 'ingredient', 'freshness']","['product', 'meet', 'expectation', 'product', 'expect', 'barbecue', 'flavor', 'strong']","['would', 'add', 'flavor', 'combination', 'people', 'like']",0.3612,-0.4023,0.4019
BBQ - Test 13,4,The product was too hard for my teeth I felt like they were going to break.,2,The product did not met my expectations because it's way too hard for my teeth,I would change the texture of it and how soft the product is,"['product', 'hard', 'teeth', 'felt', 'like', 'go', 'break']","['product', 'meet', 'expectation', 'way', 'hard', 'teeth']","['would', 'change', 'texture', 'soft', 'product']",0.2732,-0.1027,0
BBQ - Test 14,7,What I like about the product is the flavor and texture of it,4,The product met my expectations because it was really flavorful.,What I would change about the product would be the crunchiness I would make it more softer.,"['like', 'product', 'flavor', 'texture']","['product', 'meet', 'expectation', 'really', 'flavorful']","['would', 'change', 'product', 'would', 'crunchiness', 'would', 'make', 'soft']",0.3612,0,0
BBQ - Control (Texas BBQ),4,The savory bbq flavor and the crunch.,2,It was a bit too sweet,It was a bit too sweet.,"['savory', 'bbq', 'flavor', 'crunch']","['bit', 'sweet']","['bit', 'sweet']",0,0.4588,0.4588
BBQ - Test 13,8,The barbecue flavor and crunch when biting into the product.,4,It tastes even better than I had expected.,I don't think I would change anything about this product.,"['barbecue', 'flavor', 'crunch', 'bite', 'product']","['taste', 'even', 'well', 'expect']","['dont', 'think', 'would', 'change', 'anything', 'product']",0,0.4404,0
BBQ - Test 14,7,It has a great crunch,3,It tasted how I expected it to taste.,Maybe make it a bit more savory.,"['great', 'crunch']","['taste', 'expect', 'taste']","['maybe', 'make', 'bit', 'savory']",0.6249,0,0
BBQ - Control (Texas BBQ),2,once chewed it becomes very creamy in your mouth and the flavor comes and goes and is not pleasing,1,the multitude of textures were too much,"The bar appears to be coated in something, not like a normal Nature Valley Granola Bar","['chew', 'becomes', 'creamy', 'mouth', 'flavor', 'come', 'go', 'please']","['multitude', 'texture', 'much']","['bar', 'appear', 'coated', 'something', 'like', 'normal', 'nature', 'valley', 'granola', 'bar']",-0.4168,0,-0.2755
BBQ - Test 13,5,flavor is not overpowering,2,I think Nature Valley!  this is not that.  Looks more like a knock off,"Appearance, bar looks coated in something.","['flavor', 'overpower']","['think', 'nature', 'valley', 'look', 'like', 'knock']","['appearance', 'bar', 'look', 'coat', 'something']",0,0.474,0
BBQ - Test 14,2,not much,1,I think of Nature Valley as a top healthy snack brand.  The flavor is not appealing at all,the flavor - too smoky and this one has the creamy texture when chewed too,['much'],"['think', 'nature', 'valley', 'top', 'healthy', 'snack', 'brand', 'flavor', 'appeal']","['flavor', 'smoky', 'one', 'creamy', 'texture', 'chew']",0,0.5423,0
BBQ - Control (Texas BBQ),8,I like the crunchiness of this bar. I like the taste of the nuts and smoky taste,4,I expect good things from Nature Valley. The product is good and crunchy with nuts and seeds,I don't think anything needs to be changed with this product,"['like', 'crunchiness', 'bar', 'like', 'taste', 'nut', 'smoky', 'taste']","['expect', 'good', 'thing', 'nature', 'valley', 'product', 'good', 'crunchy', 'nut', 'seed']","['dont', 'think', 'anything', 'need', 'change', 'product']",0.4019,0.5423,0
BBQ - Test 13,8,I like the taste and the smoky flavor I get with each bite. I also enjoy the crispy pieces that I taste with each bite,4,I thought it was going to be a bbq coating and it is a bbq seasoning. I actually like the dry season better,I think it might taste a little better with a cheese flavored added to it,"['like', 'taste', 'smoky', 'flavor', 'get', 'bite', 'also', 'enjoy', 'crispy', 'piece', 'taste', 'bite']","['thought', 'go', 'bbq', 'coat', 'bbq', 'season', 'actually', 'like', 'dry', 'season', 'well']","['think', 'might', 'taste', 'little', 'good', 'cheese', 'flavor', 'add']",0.6908,0.6597,0.3832
BBQ - Test 14,7,I like the crunchiness and the look of the product. I can see it has nuts in it and that it healthy,3,It should have more nuts and more bbq flavor. It is a good product but I would like a variety of nuts,I think the taste is not that much of a bbq flavor.   I would maybe add some bigger nuts like almonds or pecans,"['like', 'crunchiness', 'look', 'product', 'see', 'nut', 'healthy']","['nut', 'bbq', 'flavor', 'good', 'product', 'would', 'like', 'variety', 'nut']","['think', 'taste', 'much', 'bbq', 'flavor', 'would', 'maybe', 'add', 'big', 'nut', 'like', 'almond', 'pecan']",0.4404,0.0036,0.0516
BBQ - Control (Texas BBQ),6,this one was difficult to decide whether i liked or disliked at first.  i do like the tangy flavor of this bar after having more than the initial taste. i like the texture of the bar.,3,i figured it would have some tangy flavor. i expected it to be an orange tone in color. i expected it to be crunchy in texture.,i would tone down the zingy flavor a bit. It is a bit much at first but in the end i think it was ok.,"['one', 'difficult', 'decide', 'whether', 'liked', 'dislike', 'first', 'like', 'tangy', 'flavor', 'bar', 'initial', 'taste', 'like', 'texture', 'bar']","['figure', 'would', 'tangy', 'flavor', 'expect', 'orange', 'tone', 'color', 'expect', 'crunchy', 'texture']","['would', 'tone', 'zingy', 'flavor', 'bit', 'bit', 'much', 'first', 'end', 'think', 'ok']",0.3818,0,0.4215
BBQ - Test 13,2,i like the texture of the bar.,2,i expected more flavor to this i guess. it was just sort of  off  tasting to me.,i would make the taste more of a bbq flavor. i feel like it's bland,"['like', 'texture', 'bar']","['expect', 'flavor', 'guess', 'sort', 'taste']","['would', 'make', 'taste', 'bbq', 'flavor', 'feel', 'like', 'bland']",0.3612,0,0.3612
BBQ - Test 14,7,i like the initial flavor upon eating. i also like the aftertaste of this bar. i like the texture as well.,4,"i was pleasantly surprised that i enjoyed this bar as much as i did, after tasting the first 2 bars. this one was the best of the bunch. i was expecting to not like the flavor after the other 2, and especially after the one i had just prior to this one.",i dont know what i would do to improve upon this product. this bar was the best of the bars.,"['like', 'initial', 'flavor', 'upon', 'eat', 'also', 'like', 'aftertaste', 'bar', 'like', 'texture', 'well']","['pleasantly', 'surprise', 'enjoy', 'bar', 'much', 'taste', 'first', '2', 'bar', 'one', 'best', 'bunch', 'expect', 'like', 'flavor', '2', 'especially', 'one', 'prior', 'one']","['dont', 'know', 'would', 'improve', 'upon', 'product', 'bar', 'best', 'bar']",0.8225,0.8857,0.7964
BBQ - Control (Texas BBQ),8,Crunchy and savory with a hint of sweetness.,5,It has good amount of BBQ flavor,Nothing,"['crunchy', 'savory', 'hint', 'sweetness']","['good', 'amount', 'bbq', 'flavor']",['nothing'],0.4939,0.4404,0
BBQ - Test 13,8,BBQ flavor,5,"Enjoy the crunchy and BBQ flavor, very unique",The bar is crumbly,"['bbq', 'flavor']","['enjoy', 'crunchy', 'bbq', 'flavor', 'unique']","['bar', 'crumbly']",0,0.4939,0
BBQ - Test 14,9,Sweet and BBQ flavor very tasty,5,Its unique flavor makes me less guilty for eat it,stronger flavors of BBQ,"['sweet', 'bbq', 'flavor', 'tasty']","['unique', 'flavor', 'make', 'less', 'guilty', 'eat']","['strong', 'flavor', 'bbq']",0.4588,-0.3626,0.3818
BBQ - Control (Texas BBQ),7,I like the strong nut taste. The roasted peanuts are the first ingredient and I'm a big fan of peanuts. I like how the product does not fall apart as easily as other Nature Valley products I have had before.,4,"The shape, texture, and crunch are similar to what I would expect from a Nature Valley product. I rated it slightly better than expected since I enjoyed the peanuts throughout the product.",I would make it a more subdued bbq flavor.,"['like', 'strong', 'nut', 'taste', 'roast', 'peanut', 'first', 'ingredient', 'im', 'big', 'fan', 'peanut', 'like', 'product', 'fall', 'apart', 'easily', 'nature', 'valley', 'product']","['shape', 'texture', 'crunch', 'similar', 'would', 'expect', 'nature', 'valley', 'product', 'rat', 'slightly', 'well', 'expect', 'since', 'enjoy', 'peanut', 'throughout', 'product']","['would', 'make', 'subdued', 'bbq', 'flavor']",0.9001,0.7102,0
BBQ - Test 13,7,I like the crunch and nutty taste.,3,The bar goes with Nature Valley and is what I would expect for this product. The flavor is good but just a little strong for me and could tone down a little.,A little less BBQ flavor and more nut flavor.,"['like', 'crunch', 'nutty', 'taste']","['bar', 'go', 'nature', 'valley', 'would', 'expect', 'product', 'flavor', 'good', 'little', 'strong', 'could', 'tone', 'little']","['little', 'less', 'bbq', 'flavor', 'nut', 'flavor']",0.3612,0.715,0
BBQ - Test 14,7,"The crunch, the nuttiness.",3,"The product has a similar look, shape, texture, and crunchiness as other Nature Valley products.",A little less BBQ flavor and more of the nut flavor.,"['crunch', 'nuttiness']","['product', 'similar', 'look', 'shape', 'texture', 'crunchiness', 'nature', 'valley', 'product']","['little', 'less', 'bbq', 'flavor', 'nut', 'flavor']",0,0,0
BBQ - Control (Texas BBQ),3,Love that it has the familiarity of a nature valley barbbq flavor is a miss thoughhad a burnt after taste,2,Was expecting better bbq flavor,Better flavor,"['love', 'familiarity', 'nature', 'valley', 'bar\x97bbq', 'flavor', 'miss', 'though\x97had', 'burnt', 'taste']","['expect', 'well', 'bbq', 'flavor']","['well', 'flavor']",0.5574,0.4404,0.4404
BBQ - Test 13,7,Bbq flavor is greatgreat crunch,3,Bbq flavor was great and still identifiable as a nature valley bar,After taste is a little too artificial/plasticky,"['bbq', 'flavor', 'great\x97great', 'crunch']","['bbq', 'flavor', 'great', 'still', 'identifiable', 'nature', 'valley', 'bar']","['taste', 'little', 'artificialplasticky']",0,0.6249,0
BBQ - Test 14,7,Texture is greatthis one has a bit of a spicy zip,3,Great crunch and not too hard; could definitely use more bbq flavor though,The taste is a little offlike chemical-y,"['texture', 'great\x97this', 'one', 'bit', 'spicy', 'zip']","['great', 'crunch', 'hard', 'could', 'definitely', 'use', 'bbq', 'flavor', 'though']","['taste', 'little', 'off\x97like', 'chemicaly']",0,0.7962,0
BBQ - Control (Texas BBQ),9,The Appearance It has really good flavor. the way the peanuts are seasoned and the crunch,5,it was seasoned way better than I expected and tasted fresher than I expected it to taste,I would make it a little bit bigger or have two bars per pack,"['appearance', 'really', 'good', 'flavor', 'way', 'peanut', 'season', 'crunch']","['seasoned', 'way', 'well', 'expect', 'taste', 'fresher', 'expect', 'taste']","['would', 'make', 'little', 'bit', 'big', 'two', 'bar', 'per', 'pack']",0.4927,0.4404,0
BBQ - Test 13,9,The Appearance. The Flavor and the way the bar and peanuts are seasoned.,5,I didnt expect it to be seasoned so well and be as fresh as it tasted,I would make the serving size bigger or add another bar to the package and make it a two bar pack,"['appearance', 'flavor', 'way', 'bar', 'peanut', 'season']","['didnt', 'expect', 'season', 'well', 'fresh', 'taste']","['would', 'make', 'serve', 'size', 'big', 'add', 'another', 'bar', 'package', 'make', 'two', 'bar', 'pack']",0,0.6176,0
BBQ - Test 14,9,The appearance. The way The bar and peanuts are seasoned and the freshness I didnt expect it to taste so fresh,5,The freshness and the overall taste,I would make the bar a little bit bigger or offer it as a two bar pack,"['appearance', 'way', 'bar', 'peanut', 'season', 'freshness', 'didnt', 'expect', 'taste', 'fresh']","['freshness', 'overall', 'taste']","['would', 'make', 'bar', 'little', 'bit', 'big', 'offer', 'two', 'bar', 'pack']",0.4572,0,0
BBQ - Control (Texas BBQ),6,"the BBQ flavor, it's not over powering",4,I did not thing that a BBQ Granola Bar would be any good,a little sweeter and little spicer flavor,"['bbq', 'flavor', 'power']","['thing', 'bbq', 'granola', 'bar', 'would', 'good']","['little', 'sweet', 'little', 'spicer', 'flavor']",0,0.4404,0
BBQ - Test 13,7,The BBQ flavor had a little bit of spice to it,5,"Again, I just didn't think BBQ and Granola would go well together",make it a little sweeter,"['bbq', 'flavor', 'little', 'bit', 'spice']","['didnt', 'think', 'bbq', 'granola', 'would', 'go', 'well', 'together']","['make', 'little', 'sweeter']",0,0.2732,0
BBQ - Test 14,4,the flavor is overpowering and leaves an after taste,3,"This was what I was expecting,  The BBQ overpowered the granola",make it sweeter,"['flavor', 'overpower', 'leaf', 'taste']","['expect', 'bbq', 'overpower', 'granola']","['make', 'sweeter']",0,0,0
BBQ - Control (Texas BBQ),7,I like the flavor and crunchiness. It also has a salty finish to it that makes me want another bite.,3,I expected the crunchiness nature valley bars offer with bbq flavor and that's exactly what I got. I do like that they are not as messy as the originals.,I would leave it the same as it is honestly.,"['like', 'flavor', 'crunchiness', 'also', 'salty', 'finish', 'make', 'want', 'another', 'bite']","['expect', 'crunchiness', 'nature', 'valley', 'bar', 'offer', 'bbq', 'flavor', 'thats', 'exactly', 'get', 'like', 'messy', 'original']","['would', 'leave', 'honestly']",0.4215,0.5588,0.4215
BBQ - Test 13,2,"nothing, its got flavor but its more plain to me",2,it didn't have much flavor,add more flavor,"['nothing', 'get', 'flavor', 'plain']","['didnt', 'much', 'flavor']","['add', 'flavor']",0,0,0
BBQ - Test 14,6,I don't really like it but I don't really hate it either. Its kinda in the middle.,2,it didn't meet my expectations didn't have much of a bbq flavor,more flavor,"['dont', 'really', 'like', 'dont', 'really', 'hate', 'either', 'kinda', 'middle']","['didnt', 'meet', 'expectation', 'didnt', 'much', 'bbq', 'flavor']",['flavor'],0.566,0,0
BBQ - Control (Texas BBQ),2,Its crunchy it has a nice crunchy texture thats it!,1,It expected the same taste as barbeque potatoe chips they usually nail it on the head with a bbq taste.  Its crunchy so I expected to have the same hit in my mouth.  It it alright but not in a good way I could barely swallow it,The overall taste it barely has a barbeque flavor.  It really taste like a bunch of seasonings that doesn't match well blended.,"['crunchy', 'nice', 'crunchy', 'texture', 'thats']","['expect', 'taste', 'barbeque', 'potatoe', 'chip', 'usually', 'nail', 'head', 'bbq', 'taste', 'crunchy', 'expect', 'hit', 'mouth', 'alright', 'good', 'way', 'could', 'barely', 'swallow']","['overall', 'taste', 'barely', 'barbeque', 'flavor', 'really', 'taste', 'like', 'bunch', 'seasoning', 'doesnt', 'match', 'well', 'blend']",0.4753,-0.3837,0.2416
BBQ - Test 13,2,its crunchy,1,Its extremely unpleasant to taste,taste the seasoning blend needs a big improvement.,['crunchy'],"['extremely', 'unpleasant', 'taste']","['taste', 'season', 'blend', 'need', 'big', 'improvement']",0,-0.5256,0.4588
BBQ - Test 14,2,Its just plain nasty small amount of barbeque flavor,1,I was really expecting a real bbq in my mouth a cookout yet I received a boxing match.  Just a bunch of flavors fightings for a spot.,Add more barbeque flavor and less of whatever season blend chosen.  Use more of a KC Masterpiece or Sweet Baby Rays flavor,"['plain', 'nasty', 'small', 'amount', 'barbeque', 'flavor']","['really', 'expect', 'real', 'bbq', 'mouth', 'cookout', 'yet', 'receive', 'boxing', 'match', 'bunch', 'flavor', 'fighting', 'spot']","['add', 'barbeque', 'flavor', 'less', 'whatever', 'season', 'blend', 'choose', 'use', 'kc', 'masterpiece', 'sweet', 'baby', 'ray', 'flavor']",-0.5574,-0.4404,0.8107
