product,Question,Response,Sentiment Score,Response value,lemm
Chobani Smooth,Liking,I liked the strawberry flavor and the fruit pieces.It was smooth and had a nice taste.,68.08,8,"['like', 'strawberry', 'flavor', 'fruit', 'piecesit', 'smooth', 'nice', 'taste']"
Yoplait OSY,Liking,I like the thickness of the yogurt and the taste of the Greek yogurt.  It was not sour or too sweet.  There was a good balance of strawberry to yogurt and I liked finding a chunk of strawberry.  I like the packaging because it is unique and easy to find in the yogurt section of a store.,93.93,9,"['like', 'thickness', 'yogurt', 'taste', 'greek', 'yogurt', 'sour', 'sweet', 'good', 'balance', 'strawberry', 'yogurt', 'like', 'find', 'chunk', 'strawberry', 'like', 'package', 'unique', 'easy', 'find', 'yogurt', 'section', 'store']"
Chobani Smooth,Liking,"I liked the creaminess of the product. I also liked the nice, subtle flavor.",81.26,6,"['liked', 'creaminess', 'product', 'also', 'like', 'nice', 'subtle', 'flavor']"
Yoplait OSY,Liking,"Thick, creamy consistency - the thickness makes it seem more like a dessert!  Natural ingredients, good strawberry flavor, no growth hormones.",84.61,8,"['thick', 'creamy', 'consistency', 'thickness', 'make', 'seem', 'like', 'dessert', 'natural', 'ingredient', 'good', 'strawberry', 'flavor', 'growth', 'hormone']"
Chobani Smooth,Liking,"I love the  smooth  texture and the overall taste.  The texture feels like as it was extremely whipped (like whipping cream) and provides a different type of texture than traditional yogurt.  In my opinion, typical yogurt, is not as whipped as this version of yogurt.  Typical yogurt tends to be more separated than whipped.",77.17,9,"['love', 'smooth', 'texture', 'overall', 'taste', 'texture', 'feel', 'like', 'extremely', 'whip', 'like', 'whip', 'cream', 'provide', 'different', 'type', 'texture', 'traditional', 'yogurt', 'opinion', 'typical', 'yogurt', 'whip', 'version', 'yogurt', 'typical', 'yogurt', 'tend', 'separate', 'whip']"
Yoplait OSY,Liking,"I liked the strawberry taste. I thought it had a good amount of sweetness, but not too sweet.It had a good amount of tartness too. I liked that it had a good amount of protein. I liked the serving size. It was a perfect amount for a snack.",97.79,7,"['like', 'strawberry', 'taste', 'think', 'good', 'amount', 'sweetness', 'sweetit', 'good', 'amount', 'tartness', 'like', 'good', 'amount', 'protein', 'like', 'serve', 'size', 'perfect', 'amount', 'snack']"
Chobani Smooth,Liking,"Tastes great, sweet, smooth",79.64,8,"['taste', 'great', 'sweet', 'smooth']"
Yoplait OSY,Liking,"Product was not too sweet, has a thicker taste (but not too thick) and has good flavor. Overall, it's something I would eat.",10.78,8,"['product', 'sweet', 'thicker', 'taste', 'thick', 'good', 'flavor', 'overall', 'something', 'would', 'eat']"
Chobani Smooth,Liking,"I like the smooth and creamy texture and awesome taste, which was not too sweet.",62.73,8,"['like', 'smooth', 'creamy', 'texture', 'awesome', 'taste', 'sweet']"
Yoplait OSY,Liking,LOTS OF FRUIT IN THE CUP. GOOD FLAVOR. VERY FILLING,44.04,8,"['lot', 'fruit', 'cup', 'good', 'flavor', 'filling']"
Chobani Smooth,Liking,Creamy,0,6,['creamy']
Yoplait OSY,Liking,Mixture of fruit pieces with yogurt.  Only 120 calories.,0,8,"['mixture', 'fruit', 'piece', 'yogurt', '120', 'calorie']"
Chobani Smooth,Liking,It tasted like fresh fruit and was very filling.,58.59,9,"['taste', 'like', 'fresh', 'fruit', 'filling']"
Yoplait OSY,Liking,Texture  Protein content  Consistency  Real fruit  Amount  Fullness,0,9,"['texture', 'protein', 'content', 'consistency', 'real', 'fruit', 'amount', 'fullness']"
Chobani Smooth,Liking,I liked the texture.  It was very smooth and creamy.  I liked that it wasn't too sweet.  It had a  clean  taste with no artificial or unpleasant aftertaste.,13.31,8,"['liked', 'texture', 'smooth', 'creamy', 'like', 'wasnt', 'sweet', 'clean', 'taste', 'artificial', 'unpleasant', 'aftertaste']"
Yoplait OSY,Liking,"I thought the actual yogurt was good, creamy, smooth and filling like I expect of greek yogurts. The packaging is eye pleasing.",83.16,7,"['think', 'actual', 'yogurt', 'good', 'creamy', 'smooth', 'fill', 'like', 'expect', 'greek', 'yogurt', 'package', 'eye', 'pleasing']"
Chobani Smooth,Liking,"That it is smooth and creamy, has less sugar, is higher in protein than other regular yogurts. However, I my still opt for Greek yogurts that have a bit higher protein.  I like that it is non-GMO. The price is reasonable. I like that the fruit was blended in.",61.24,7,"['smooth', 'creamy', 'less', 'sugar', 'high', 'protein', 'regular', 'yogurt', 'however', 'still', 'opt', 'greek', 'yogurt', 'bit', 'high', 'protein', 'like', 'nongmo', 'price', 'reasonable', 'like', 'fruit', 'blend']"
Yoplait OSY,Liking,"Thick and creamy  real strawberries gave it a good flavor, plus chunks of berries  5 grams of live cultures,  12 g. protein",44.04,8,"['thick', 'creamy', 'real', 'strawberry', 'give', 'good', 'flavor', 'plus', 'chunks', 'berry', '5', 'gram', 'live', 'culture', '12', 'g', 'protein']"
Chobani Smooth,Liking,"color, consistency, no big chunks of fruit",-29.6,8,"['color', 'consistency', 'big', 'chunk', 'fruit']"
Yoplait OSY,Liking,There is a lovely thickness to this product. I really liked the consistency and weight of it.  It  felt  like a substantial treat. The fruit flavor adds pops of interest.,94.22,8,"['lovely', 'thickness', 'product', 'really', 'liked', 'consistency', 'weight', 'felt', 'like', 'substantial', 'treat', 'fruit', 'flavor', 'add', 'pops', 'interest']"
Chobani Smooth,Liking,"Texture, flavor and not having the fruit on the bottom",0,8,"['texture', 'flavor', 'fruit', 'bottom']"
Yoplait OSY,Liking,i like that it is creamy and has big pieces of fruit,36.12,7,"['like', 'creamy', 'big', 'piece', 'fruit']"
Chobani Smooth,Liking,"It  was smooth & Creamy, It had the right amount of sweetness and overall great flavor.",80.74,8,"['smooth', 'creamy', 'right', 'amount', 'sweetness', 'overall', 'great', 'flavor']"
Yoplait OSY,Liking,creamy,0,8,['creamy']
Chobani Smooth,Liking,The taste is great!,65.88,8,"['taste', 'great']"
Yoplait OSY,Liking,"Pieces of fruit were perfect size,  not too big and blended in well with the yogurt.",70.03,7,"['piece', 'fruit', 'perfect', 'size', 'big', 'blend', 'well', 'yogurt']"
Chobani Smooth,Liking,creaminess with a little tang,0,8,"['creaminess', 'little', 'tang']"
Yoplait OSY,Liking,"Non-GMO, live cultured robiotics good for digestion health, made w/real fruit, cane sugar, taste, texture.",44.04,8,"['nongmo', 'live', 'culture', 'robiotics', 'good', 'digestion', 'health', 'make', 'wreal', 'fruit', 'cane', 'sugar', 'taste', 'texture']"
Chobani Smooth,Liking,Texture and flavor,0,7,"['texture', 'flavor']"
Yoplait OSY,Liking,The taste & creaminess was very good. I like that there were some little chunks of strawberries so you could really tell there were berries in the yogurt.,71.59,8,"['taste', 'creaminess', 'good', 'like', 'little', 'chunk', 'strawberry', 'could', 'really', 'tell', 'berry', 'yogurt']"
Chobani Smooth,Liking,"It's creamy, flavorful, (on the edge of) but not too sweet, fruity smelling and tasting, a bit tangy and affordable.",-49.73,8,"['creamy', 'flavorful', 'edge', 'sweet', 'fruity', 'smell', 'taste', 'bit', 'tangy', 'affordable']"
Yoplait OSY,Liking,Thickness and great fruit flavor,62.49,8,"['thickness', 'great', 'fruit', 'flavor']"
Chobani Smooth,Liking,I like the packaging,36.12,4,"['like', 'packaging']"
Yoplait OSY,Liking,Good flavor and it was very smooth.,44.04,8,"['good', 'flavor', 'smooth']"
Chobani Smooth,Liking,"I liked the overall strawberry flavor and that it was already mixed in, versus being fruit on the bottom that had to be stirred in. I also liked that it was so smooth and creamy. It was light, flavorful, and filling. It would make a great addition to a meal or a healthy snack.",90.81,7,"['like', 'overall', 'strawberry', 'flavor', 'already', 'mixed', 'versus', 'fruit', 'bottom', 'stir', 'also', 'like', 'smooth', 'creamy', 'light', 'flavorful', 'filling', 'would', 'make', 'great', 'addition', 'meal', 'healthy', 'snack']"
Yoplait OSY,Liking,the amount of protein and had lots of flavor.,0,7,"['amount', 'protein', 'lot', 'flavor']"
Chobani Smooth,Liking,I like the flavor and there was no after taste for me. The texture is nice and smooth.,47.67,7,"['like', 'flavor', 'taste', 'texture', 'nice', 'smooth']"
Yoplait OSY,Liking,Good flavor and I like the fruit chunks.,65.97,9,"['good', 'flavor', 'like', 'fruit', 'chunk']"
Chobani Smooth,Liking,The texture and color look good,44.04,2,"['texture', 'color', 'look', 'good']"
Yoplait OSY,Liking,the flavor is good.,44.04,7,"['flavor', 'good']"
Chobani Smooth,Liking,Strawberry flavor was good.  Also the tangyness of the greek yogurt was perfect.,76.5,6,"['strawberry', 'flavor', 'good', 'also', 'tangyness', 'greek', 'yogurt', 'perfect']"
Yoplait OSY,Liking,It tastes like actual strawberries.  It's not unnaturally pink.  It's sweet enough.  The yogurt is easy to get at -- there's no lip to the container that you have to scoop under.,77.83,9,"['taste', 'like', 'actual', 'strawberry', 'unnaturally', 'pink', 'sweet', 'enough', 'yogurt', 'easy', 'get', 'there', 'lip', 'container', 'scoop']"
Chobani Smooth,Liking,"Very smooth, low fat, small chunks of strawberry",-33.53,7,"['smooth', 'low', 'fat', 'small', 'chunk', 'strawberry']"
Yoplait OSY,Liking,"Thick,  creamy, not too sweet with a slight tang, fruit on the bottom, with some pieces of fruit, container was big enough to mix the fruit with the yoghurt.",-35.7,9,"['thick', 'creamy', 'sweet', 'slight', 'tang', 'fruit', 'bottom', 'piece', 'fruit', 'container', 'big', 'enough', 'mix', 'fruit', 'yoghurt']"
Chobani Smooth,Liking,"I liked the texture.  It was very smooth, there were not any chunks in it.  I also liked the  color of the product.  The  coloring seemed very natural.  The price of the product is very good too.",89.06,1,"['liked', 'texture', 'smooth', 'chunk', 'also', 'like', 'color', 'product', 'coloring', 'seem', 'natural', 'price', 'product', 'good']"
Yoplait OSY,Liking,Texture of the yogurt,0,6,"['texture', 'yogurt']"
Chobani Smooth,Liking,"The smooth, creamy texture.  The flavor was sweet, but no too sweet to be overpowering.",49.39,7,"['smooth', 'creamy', 'texture', 'flavor', 'sweet', 'sweet', 'overpowering']"
Yoplait OSY,Liking,"it is thick and creamy, good flavor",44.04,8,"['thick', 'creamy', 'good', 'flavor']"
Chobani Smooth,Liking,Very smooth and tasty.,0,8,"['smooth', 'tasty']"
Yoplait OSY,Liking,Thick and creamy texture. Pleasant flavor. No after taste.,27.32,8,"['thick', 'creamy', 'texture', 'pleasant', 'flavor', 'taste']"
Chobani Smooth,Liking,Very smooth and creamy.  Lowfat usually has a funny taste to me but this product did not.  The packaging is appealing and I like that the word smooth is highlighted.  I like the cost (2 for $1.75).,81.51,8,"['smooth', 'creamy', 'lowfat', 'usually', 'funny', 'taste', 'product', 'packaging', 'appeal', 'like', 'word', 'smooth', 'highlight', 'like', 'cost', '2', '175']"
Yoplait OSY,Liking,The flavor of the yogurt is something that I enjoy the most.  The texture of the yogurt was smooth.,49.39,7,"['flavor', 'yogurt', 'something', 'enjoy', 'texture', 'yogurt', 'smooth']"
Chobani Smooth,Liking,Has a good flavor and not too sweet.  Smooth texture like stated on the package.  Often non-greek yogurts taste so sugary and this one did not.,44.42,8,"['good', 'flavor', 'sweet', 'smooth', 'texture', 'like', 'state', 'package', 'often', 'nongreek', 'yogurt', 'taste', 'sugary', 'one']"
Yoplait OSY,Liking,I liked the flavor of the yougart and the mix in stuff and the packaging of the product.,42.15,7,"['like', 'flavor', 'yougart', 'mix', 'stuff', 'packaging', 'product']"
Chobani Smooth,Liking,it was very smooth,0,7,['smooth']
Yoplait OSY,Liking,The chunks of strawberry in it.,0,8,"['chunk', 'strawberry']"
Chobani Smooth,Liking,Very creamy with chunks of real fruit.  11 grams of protein.,0,8,"['creamy', 'chunk', 'real', 'fruit', '11', 'gram', 'protein']"
Yoplait OSY,Liking,The flavor is good and the texture is creamy.,44.04,8,"['flavor', 'good', 'texture', 'creamy']"
Chobani Smooth,Liking,It really tasted like fresh strawberry.  There was a lot of pieces fruit in it. It was not chalky.,65.33,8,"['really', 'taste', 'like', 'fresh', 'strawberry', 'lot', 'piece', 'fruit', 'chalky']"
Yoplait OSY,Liking,Strawberry flavor was perfect & I liked the thick consistency.,75.79,8,"['strawberry', 'flavor', 'perfect', 'like', 'thick', 'consistency']"
Chobani Smooth,Liking,I love how it had a strong taste in flavor.,81.76,8,"['love', 'strong', 'taste', 'flavor']"
Yoplait OSY,Liking,I love the texture and flavor of the yogurt.,63.69,8,"['love', 'texture', 'flavor', 'yogurt']"
Chobani Smooth,Liking,Creamy texture.  Good portion size.,44.04,6,"['creamy', 'texture', 'good', 'portion', 'size']"
Yoplait OSY,Liking,"It tasted really good.  Not too heavy of a strawberry taste, just enough",49.27,8,"['taste', 'really', 'good', 'heavy', 'strawberry', 'taste', 'enough']"
Chobani Smooth,Liking,"It's smooth, creamy and easily blend able (mixing in the fruit with yogurt part).",34,8,"['smooth', 'creamy', 'easily', 'blend', 'able', 'mixing', 'fruit', 'yogurt', 'part']"
Yoplait OSY,Liking,I enjoy the fruit at the bottom and overall the taste creamy and smooth.,49.39,8,"['enjoy', 'fruit', 'bottom', 'overall', 'taste', 'creamy', 'smooth']"
Chobani Smooth,Liking,"the strawberry flavor was deep , II also texture - thick but not too thick",0,8,"['strawberry', 'flavor', 'deep', 'ii', 'also', 'texture', 'thick', 'thick']"
Yoplait OSY,Liking,It has good flavor and good texture with the yogurt.,70.03,6,"['good', 'flavor', 'good', 'texture', 'yogurt']"
Chobani Smooth,Liking,I like that it tastes smooth and creamy. The taste is really nice and I also like the thickness/density.,79.6,9,"['like', 'taste', 'smooth', 'creamy', 'taste', 'really', 'nice', 'also', 'like', 'thicknessdensity']"
Yoplait OSY,Liking,I like the strawberry flavor and it is the right amount of sweet flavor. Creamy too.,67.05,7,"['like', 'strawberry', 'flavor', 'right', 'amount', 'sweet', 'flavor', 'creamy']"
Chobani Smooth,Liking,"all natural, good flavor, smooth and creamy",65.97,7,"['natural', 'good', 'flavor', 'smooth', 'creamy']"
Yoplait OSY,Liking,The taste,0,7,['taste']
Chobani Smooth,Liking,The flavor is pretty good. I like that it's high in protein and lower in fat and sugar than regular greek yogurt.,75.06,6,"['flavor', 'pretty', 'good', 'like', 'high', 'protein', 'lower', 'fat', 'sugar', 'regular', 'greek', 'yogurt']"
Yoplait OSY,Liking,The yogurt is thick. The fruit flavor is good.,44.04,7,"['yogurt', 'thick', 'fruit', 'flavor', 'good']"
Chobani Smooth,Liking,I liked how creamy it was and how the taste was consistent throughout the product. Like there wasn't any spots where it tasted like bland yogurt.,77.83,7,"['like', 'creamy', 'taste', 'consistent', 'throughout', 'product', 'like', 'wasnt', 'spot', 'taste', 'like', 'bland', 'yogurt']"
Yoplait OSY,Liking,"I liked the strawberry flavor, it's very sweet, not tart,creamy.",72.64,8,"['like', 'strawberry', 'flavor', 'sweet', 'tartcreamy']"
Chobani Smooth,Liking,"thickness of the yogurt, and the taste",0,8,"['thickness', 'yogurt', 'taste']"
Yoplait OSY,Liking,"It had good flavor, creamy, no aftertaste that was bad",-42.15,8,"['good', 'flavor', 'creamy', 'aftertaste', 'bad']"
Chobani Smooth,Liking,"creamy and the texture, good tast",44.04,8,"['creamy', 'texture', 'good', 'tast']"
Yoplait OSY,Liking,"It's smooth and taste's like the natural strawberry flavor. Also, it had a good aftertaste.",78.45,8,"['smooth', 'taste', 'like', 'natural', 'strawberry', 'flavor', 'also', 'good', 'aftertaste']"
Chobani Smooth,Liking,I liked the thickness and flavor of it.,42.15,7,"['liked', 'thickness', 'flavor']"
Yoplait OSY,Liking,DIDN'T LEAVE A WEIRD AFTER TASTE IN MY MOUTH & IT WASN'T TOO TART,16.95,7,"['didnt', 'leave', 'weird', 'taste', 'mouth', 'wasnt', 'tart']"
Chobani Smooth,Liking,"It has a very smooth texture, not powdery or clumpy.  I like that it only has natural coloringing.  I like that there isn't fruit on the bottom or fruit pieces in it, so I don't have to mix it before I eat it...I can just eat it!  It's not too sweet and it has the ideal strawberry flavor to it.  It's thick, so it feels like I'm eating greek yogurt.  The price is a good deal.",92.03,9,"['smooth', 'texture', 'powdery', 'clumpy', 'like', 'natural', 'color', 'like', 'isnt', 'fruit', 'bottom', 'fruit', 'piece', 'dont', 'mix', 'eat', 'iti', 'eat', 'sweet', 'ideal', 'strawberry', 'flavor', 'thick', 'feel', 'like', 'im', 'eat', 'greek', 'yogurt', 'price', 'good', 'deal']"
Chobani Smooth,Liking,Creamy,0,3,['creamy']
Chobani Smooth,Liking,I like the flavor and the smoothness,36.12,9,"['like', 'flavor', 'smoothness']"
Chobani Smooth,Liking,"packaging is very appealing, tasted pretty good for low fat",64.44,7,"['package', 'appeal', 'taste', 'pretty', 'good', 'low', 'fat']"
Chobani Smooth,Liking,"Wide container cup design, real fruit pieces, texture, 25% less sugar 2x more protein advertised on product, Chobani smooth low-fat classic yogurt description",0,6,"['wide', 'container', 'cup', 'design', 'real', 'fruit', 'piece', 'texture', '25', 'less', 'sugar', '2x', 'protein', 'advertise', 'product', 'chobani', 'smooth', 'lowfat', 'classic', 'yogurt', 'description']"
Chobani Smooth,Liking,Creamy texture.  Strawberry flavor.,0,5,"['creamy', 'texture', 'strawberry', 'flavor']"
Chobani Smooth,Liking,"Flavor, consistancy",0,7,"['flavor', 'consistancy']"
Chobani Smooth,Liking,"creamy, smooth",0,8,"['creamy', 'smooth']"
Chobani Smooth,Liking,the creaminess of the yogurt.,0,8,"['creaminess', 'yogurt']"
Chobani Smooth,Liking,"It is nice, smooth and thick texture.",42.15,8,"['nice', 'smooth', 'thick', 'texture']"
Chobani Smooth,Liking,It is very smooth and creamy.,0,7,"['smooth', 'creamy']"
Chobani Smooth,Liking,"great flavor, smooth and easy to eat",79.06,8,"['great', 'flavor', 'smooth', 'easy', 'eat']"
Chobani Smooth,Liking,I liked the shape of the bowl/container.  It was easier to eat out of and I felt like I had more yogurt than the Yoplait I usually have.,79.64,3,"['liked', 'shape', 'bowlcontainer', 'easy', 'eat', 'felt', 'like', 'yogurt', 'yoplait', 'usually']"
Chobani Smooth,Liking,Right amount of strawberry flavor.,0,8,"['right', 'amount', 'strawberry', 'flavor']"
Chobani Smooth,Liking,"Perfect size for a snack, also easy to use container for children. I refilled it for my little one and there was no spills.",65.97,8,"['perfect', 'size', 'snack', 'also', 'easy', 'use', 'container', 'child', 'refill', 'little', 'one', 'spill']"
Chobani Smooth,Liking,"It wasn't overly sweet, had a light texture to it.",-35.7,7,"['wasnt', 'overly', 'sweet', 'light', 'texture']"
Chobani Smooth,Liking,"very smooth, great taste.  Love the tartness, it's a little subtle but definitely there",81.48,9,"['smooth', 'great', 'taste', 'love', 'tartness', 'little', 'subtle', 'definitely']"
Chobani Smooth,Liking,Flavor,0,7,['flavor']
Chobani Smooth,Liking,texture and taste,0,8,"['texture', 'taste']"
Chobani Smooth,Liking,the creamy texture,0,4,"['creamy', 'texture']"
Chobani Smooth,Liking,it is smooth and texture is good,44.04,7,"['smooth', 'texture', 'good']"
Chobani Smooth,Liking,taste and smoothness,0,9,"['taste', 'smoothness']"
Chobani Smooth,Liking,The texture is smooth and it was very flavorful. The strawberries were good too,44.04,8,"['texture', 'smooth', 'flavorful', 'strawberry', 'good']"
Chobani Smooth,Liking,"good taste, smooth consistency. not too tart",44.04,8,"['good', 'taste', 'smooth', 'consistency', 'tart']"
Chobani Smooth,Liking,Tastes pretty good. I like strawberry.,82.25,7,"['taste', 'pretty', 'good', 'like', 'strawberry']"
Chobani Smooth,Liking,Smooth texture and good strawberry taste.,44.04,8,"['smooth', 'texture', 'good', 'strawberry', 'taste']"
Chobani Smooth,Liking,It is smooth and creamy. It has a good strawberry flavor.,44.04,8,"['smooth', 'creamy', 'good', 'strawberry', 'flavor']"
Chobani Smooth,Liking,It tasted like greek yogurt but it wasn't. It wasn't quite as thick as a greek yogurt.,19.01,7,"['taste', 'like', 'greek', 'yogurt', 'wasnt', 'wasnt', 'quite', 'thick', 'greek', 'yogurt']"
Chobani Smooth,Liking,Lot's of strawberry flavor and was not tart at all.,0,7,"['lot', 'strawberry', 'flavor', 'tart']"
Chobani Smooth,Liking,"Good taste, not bland.",44.04,7,"['good', 'taste', 'bland']"
Chobani Smooth,Liking,The creaminess,0,3,['creaminess']
Chobani Smooth,Liking,,0,7,
Chobani Smooth,Liking,creamy texture,0,7,"['creamy', 'texture']"
Chobani Smooth,Liking,It's texture and taste,0,8,"['texture', 'taste']"
Chobani Smooth,Liking,"Creamy,lots of fruit",0,8,"['creamylots', 'fruit']"
Chobani Smooth,Liking,It was mostly smooth. I got 2 small chunks. I like the 11 gm of protein. It's lowfat.,36.12,7,"['mostly', 'smooth', 'get', '2', 'small', 'chunk', 'like', '11', 'gm', 'protein', 'lowfat']"
Chobani Smooth,Liking,not lumpy,0,2,['lumpy']
