product_code,liking_free_text_no_punc_tokenized_no_stop_lemm,1,2,3,like_compound,question
623,like texture bar crunchy,0.3612,,,0.3612,Liking
802,texture bar,0,,,0,Liking
581,texture seed nut savory,-0.3182,,,-0.3182,Liking
623,spicy crunchy savory flavor,0,,,0,Liking
802,crunchy spice,0,,,0,Liking
581,perfect size snack color product texture great mouth feel,0.8316,,,0.8316,Liking
623,perfect amount crunch mouth feel crunchy crunchy like product easy hold didnt fall apart,0.4943,,,0.4943,Liking
802,product great texture mouth feel bbq flavor almost right think still slightly bite strong especially bar,0.7976,,,0.7976,Liking
581,crunchy savory,0,,,0,Liking
623,like crunch bbq flavor hit second,0.3612,,,0.3612,Liking
802,like strong bbq flavor thats leave aftertaste like crunchiness would good salty crave snack,0.8807,,,0.8807,Liking
581,crunchyness product like overly strong bbq flavor,0.7003,,,0.7003,Liking
623,like crunchy enjoy texture,0.6908,,,0.6908,Liking
802,like crunchyness product,0.3612,,,0.3612,Liking
581,bit well previous 2,0.4404,,,0.4404,Liking
623,nothing,0,,,0,Liking
623,nothing,0,,,0,Liking
623,nothing,0,,,0,Liking
623,nothing,0,,,0,Liking
623,nothing,0,,,0,Liking
623,nothing,0,,,0,Liking
623,nothing,0,,,0,Liking
623,nothing,0,,,0,Liking
623,nothing,0,,,0,Liking
802,nothing,0,,,0,Liking
802,nothing,0,,,0,Liking
802,nothing,0,,,0,Liking
802,nothing,0,,,0,Liking
802,nothing,0,,,0,Liking
802,nothing,0,,,0,Liking
802,nothing,0,,,0,Liking
802,nothing,0,,,0,Liking
802,nothing,0,,,0,Liking
581,nice well rounded flavor work well together,0.7184,,,0.7184,Liking
623,like smokey taste different,0.4215,,,0.4215,Liking
802,nice smoke flavor much one maybe little sweeter,0.4215,,,0.4215,Liking
581,flavor extremely well balanced satisfy snack right combination texture well crunchy granola bar expect little bit crumbly product hold together well little sunflower seed fell take next bite make feel like eat wholesome bar natural ingredient rather mystery mash,0.9249,,,0.9249,Liking
623,balance satisfy flavor isnt hard teeth chew remind substantial barbecue chip would fill bag chip offer flavor would satiate appetite effectively,0.7896,,,0.7896,Liking
802,crunch factor satisfy product good texture allow adequate amount chew stay bar shape visually see composition nut,0.6997,,,0.6997,Liking
581,crunchy seem easy chew,0.4215,,,0.4215,Liking
623,like bbq flavor weird aftertaste quite describe,-0.0772,,,-0.0772,Liking
802,didnt weird aftertaste also like flavor bbq,0.5136,,,0.5136,Liking
581,thing others like peanut butter taste crunchiness,0.3612,,,0.3612,Liking
623,sunflower seed,0,,,0,Liking
802,like crunch also peanut butter flavor,0.4215,,,0.4215,Liking
581,sample lot crunchier second one try lot well already also leave taste,0.4675,,,0.4675,Liking
623,product actually amazing flavor profile definitely i\x92m always look healthier alternative bbq chip something crunchy flavor hit spot right aftertaste wasn\x92t bad expect either,0.4588,,,0.4588,Liking
802,really like look however look much \x93seasoning\x94 make sense,0.4201,,,0.4201,Liking
581,like flavor taste nuts sunflower bbq time like taste different,0.4019,,,0.4019,Liking
623,like taste like smokey bbq also really crunchy also taste peanut sunflower,0.6124,,,0.6124,Liking
802,like different like taste like bbq also like crunchy,0.8402,,,0.8402,Liking
581,like look crunch also enjoy bbq taste peanut something new different see always buy,0.6908,,,0.6908,Liking
623,love crunch bbq taste love sunflower seed peanuts give tastebuds different experience,0.8957,,,0.8957,Liking
802,love crunchiness bar love bbq taste peanut sunflower seed,0.8555,,,0.8555,Liking
581,like taste one flavor ingredient right,0.3612,,,0.3612,Liking
623,like anything,-0.2755,,,-0.2755,Liking
802,bbq taste strong one taste pretty good,0.5264,,,0.5264,Liking
581,flavor crunch,0,,,0,Liking
623,sweet yet savory love crunch,0.802,,,0.802,Liking
802,appearance crunch,0,,,0,Liking
581,like crunch unique isnt memorable,0.1901,,,0.1901,Liking
623,like smokiness crunch like see ingredient use,0.6124,,,0.6124,Liking
802,like saltysweet combo bbq flavor present good way well satisfy,0.8687,,,0.8687,Liking
581,flavor pretty good,0.7269,,,0.7269,Liking
623,crunchy slight bbq taste,0,,,0,Liking
802,crunchy good nutty flavor,0.4404,,,0.4404,Liking
581,love savory taste taste hint barbeque nutty flavor,0.6369,,,0.6369,Liking
623,love flavor barbeque peanut blend together nicely also hard bite,0.8124,,,0.8124,Liking
802,love barbeque flavor love see taste peanut bar,0.8555,,,0.8555,Liking
581,crunchy slightly softer good appearance see taste nut one,0.015,,,0.015,Liking
623,good amount flavor favorite 3 may softest residue hand flavor overpower like first one flavor second one,0.3798,,,0.3798,Liking
802,crunchy strong flavor,0.5542,,,0.5542,Liking
581,big bbq fan practically everything distinct smoke bbq taste aftertaste firm constant,0.3182,,,0.3182,Liking
623,consistent aftertaste texture,0,,,0,Liking
802,leaf similar taste compare bbq chip,0,,,0,Liking
581,great sweet salty taste,0.7964,,,0.7964,Liking
623,first bite subtle bbq flavor saltysavory flavor release chew there sweet aftertaste,0.4588,,,0.4588,Liking
802,like hint bbq flavor taste initial bite,0.3612,,,0.3612,Liking
581,flavorful much savory sweet crunch texture unexpected bar thinner side really like,0.7023,,,0.7023,Liking
623,savory full flavor crunchier expect,0,,,0,Liking
802,flavorful crunchy sweet savory like texture hard look originally good crunch,0.7833,,,0.7833,Liking
581,like size fact could see seed,0.3612,,,0.3612,Liking
623,sweet taste,0.4588,,,0.4588,Liking
802,like bar right size,0.3612,,,0.3612,Liking
581,didnt really like flavor wasnt good,-0.5765,,,-0.5765,Liking
623,great flavor,-0.5096,,,-0.5096,Liking
802,pretty decent flavor crunchy salty,0.4939,,,0.4939,Liking
581,flavor consistency,0,,,0,Liking
581,flavor consistency,0,,,0,Liking
623,flavor consistency,0,,,0,Liking
623,flavor consistency,0,,,0,Liking
802,bbq flavor unique,0,,,0,Liking
581,bar great taste didn\x92t taste much like barbecue would\x92ve like like strong roast nut flavor would\x92ve like strong barbecue flavor overall taste aftertaste good still enjoyable,0.9721,,,0.9721,Liking
623,bar unique taste strong barbecue taste also strong roast nut taste like appetizing flavor taste bar isnt much either take multiple bite still want,0.8834,,,0.8834,Liking
802,like strong barbecue flavor nutty texture bar it\x92s flavor strong hit immediately also like aftertaste taste like bbq rib last long time enjoy bar much,0.9468,,,0.9468,Liking
581,subtle hint bbq,0,,,0,Liking
623,crunch,0,,,0,Liking
623,crunch,0,,,0,Liking
802,product taste like bbq three nice crunch,0.6801,,,0.6801,Liking
581,balance flavor salty,0,,,0,Liking
623,one good balance sweet savory crunch tasty,0.7096,,,0.7096,Liking
802,like sweet savory taste bbq bar good balance flavor enjoyable,0.8834,,,0.8834,Liking
581,like mixture bbq flavor nut,0.0516,,,0.0516,Liking
623,love bbq flavor,0.6369,,,0.6369,Liking
802,really enjoyed savory flavor great combination nutty flavor bbq flavor,0.8268,,,0.8268,Liking
581,like product sweet savory taste,0.224,,,0.224,Liking
623,good flavor taste almost identical sample 1,0.4404,,,0.4404,Liking
802,savory flavor scent power sure would want eat go,-0.1685,,,-0.1685,Liking
581,like light bbq flavor crunchiness,0.3612,,,0.3612,Liking
623,like bbq flavor sweetness little sweeter bar,0.6908,,,0.6908,Liking
802,like bbq flavor like savory like crunchiness,0.7579,,,0.7579,Liking
581,crunchiness,0,,,0,Liking
581,crunchiness,0,,,0,Liking
581,crunchiness,0,,,0,Liking
623,it\x92s crunchy savory,0,,,0,Liking
802,savory bbq flavor really stand crunchiness,0,,,0,Liking
581,nice crunch strong bbq flavor,0.0253,,,0.0253,Liking
623,little strong bbq smell,0.4627,,,0.4627,Liking
802,dont like bbq flavor weird aftertaste,-0.4234,,,-0.4234,Liking
581,like flavor crunch doesnt much smoky flavor previous bar strong aftertaste,-0.0521,,,-0.0521,Liking
623,strong flavor could use smoke bbq,-0.4439,,,-0.4439,Liking
802,love smoky flavor stay awhile spicy taste small amount heat good crunch,0.7543,,,0.7543,Liking
581,like bbq leave mouth finish eating well peanuts texture,0.5574,,,0.5574,Liking
623,like savory smokey taste sweet aftertaste,0.5106,,,0.5106,Liking
802,like texture peanut seed also like smokey bbq flavor nice aftertaste like crunch peanut,0.8519,,,0.8519,Liking
581,enjoy crunch one dense previous like like overall barbecue flavor nice sweetness seem like nut good thing overall good balance salty sweet barbecue flavor,0.9757,,,0.9757,Liking
623,like nice crunch there sweet barbecue flavor,0.8214,,,0.8214,Liking
802,like crunch,0.3612,,,0.3612,Liking
581,peanut flavor good less heat thats nice,0.7165,,,0.7165,Liking
623,sample broken look well well bbq flavor although little spicy,0.8583,,,0.8583,Liking
802,unique doesnt remind anything ive taste love nutty smoky bbq flavor,0.6369,,,0.6369,Liking
581,appearance product appear appetizing,0,,,0,Liking
623,like appearance product product appear though tasty,0.3612,,,0.3612,Liking
802,like appearance product seed nuts however sweet savory taste though miss something strange taste eat product well sure nut seed light bbq give taste dont like,-0.6049,,,-0.6049,Liking
581,crunchy great also like see seed peanut,0.765,,,0.765,Liking
623,texture doesn\x92t leave bitter taste mouth,-0.4588,,,-0.4588,Liking
802,crunch good also like nut seed,0.5657,,,0.5657,Liking
581,it\x92s get sweet aspect bbq flavor compare last one,0.4588,,,0.4588,Liking
623,it\x92s get nice flavor,0.4215,,,0.4215,Liking
802,personally don\x92t really like bbq flavor thing,0.4201,,,0.4201,Liking
581,crunchy,0,,,0,Liking
581,crunchy,0,,,0,Liking
581,crunchy,0,,,0,Liking
581,crunchy,0,,,0,Liking
581,crunchy,0,,,0,Liking
623,crunchy,0,,,0,Liking
623,crunchy,0,,,0,Liking
623,crunchy,0,,,0,Liking
623,crunchy,0,,,0,Liking
623,crunchy,0,,,0,Liking
802,crunchiness,0,,,0,Liking
802,crunchiness,0,,,0,Liking
802,crunchiness,0,,,0,Liking
581,like crunchy texture,0.3612,,,0.3612,Liking
623,texture crunch,0,,,0,Liking
802,like crunchiness,0.3612,,,0.3612,Liking
581,taste amaze love crunchiness also,0.8513,,,0.8513,Liking
623,like taste crunchiness appearance appeal,-0.2755,,,-0.2755,Liking
802,appearance product acceptable,0.3182,,,0.3182,Liking
581,although bar taste slightly less smoky still flat unsatisfactory taste profile honey sweet flavor need,0.507,,,0.507,Liking
623,flavor profile smoky flat unsatisfactory aftertaste need less smoky bbq flavor honey sweet flavor,0.507,,,0.507,Liking
802,smoky taste overwhelm taste displease flavor profile confuse time sit well aesthetic come nut bar flavor,-0.4047,,,-0.4047,Liking
581,guess since subtle sweet savory,0.4588,,,0.4588,Liking
623,nice tangy sweet mix,0.7003,,,0.7003,Liking
802,interest taste first term spiciness,0.4019,,,0.4019,Liking
581,like smell product appearance look natural texture flavor nice,0.8119,,,0.8119,Liking
581,like smell product appearance look natural texture flavor nice,0.8119,,,0.8119,Liking
581,like smell product appearance look natural texture flavor nice,0.8119,,,0.8119,Liking
623,like smell product appearance look natural texture flavor nice,0.8119,,,0.8119,Liking
623,like smell product appearance look natural texture flavor nice,0.8119,,,0.8119,Liking
623,like smell product appearance look natural texture flavor nice,0.8119,,,0.8119,Liking
802,like smell product appearance look natural texture flavor nice,0.8119,,,0.8119,Liking
802,like smell product appearance look natural texture flavor nice,0.8119,,,0.8119,Liking
802,like smell product appearance look natural texture flavor nice,0.8119,,,0.8119,Liking
581,crunch texture size like ingredient bbq,0.3612,,,0.3612,Liking
623,like crunch like granola nut well size product,0.5859,,,0.5859,Liking
802,crunch really good eat get use nice balance sweet savory feel like healthy,0.9216,,,0.9216,Liking
581,really like flavor crunch number 23,0.4754,,,0.4754,Liking
623,like crunch one flavor good 33,0.6901,,,0.6901,Liking
802,love flavor texture strong taste great favorite 3,0.9081,,,0.9081,Liking
581,bbq flavor overpower taste eat oppose instantly hit tongue soon bite,0,,,0,Liking
623,crunch also softness peanut bbq flavor little mild,0,,,0,Liking
802,like small go purpose usually work around 5am like grab granola bar way door eat way work also like crunchy texture bar,0.7579,,,0.7579,Liking
581,presentation,0,,,0,Liking
623,appearance,0,,,0,Liking
802,salty taste,0,,,0,Liking
581,bar taste like many nature valley bar taste consistency like without awful aftertaste sometimes get,0.7565,,,0.7565,Liking
623,consistent taste throughout top,-0.1511,,,-0.1511,Liking
802,taste something look bar,0,,,0,Liking
581,certain spice flavor like chipotle flavor much bbq somewhat enjoy bbq flavor increase bit compact would good,0.9129,,,0.9129,Liking
623,like crunch rest sure different bit hard compact possibly increase crunch,0.0693,,,0.0693,Liking
802,feel product 802 taste advertise bbq flavor richness crunch wellbalanced overpower first pick versus two product choice,0.2732,,,0.2732,Liking
581,item unique taste chalky,0,,,0,Liking
623,nothing chalky,0,,,0,Liking
802,taste kind funny strong taste,0.7102,,,0.7102,Liking
581,little heat aftertaste crunchy hard,0.0762,,,0.0762,Liking
623,smoky flavor crunchy feel like healthy snack,0.6369,,,0.6369,Liking
802,smoky aftertaste little heat lot peanut,0,,,0,Liking
581,nothing don\x92t like taste it\x92s tasty don\x92t taste bbq something like smokey it\x92s appetizing,-0.4973,,,-0.4973,Liking
623,don\x92t like taste much taste something smokey like there\x92s overwhelm bbq taste,-0.2817,,,-0.2817,Liking
802,don\x92t like smokey taste product mind think go eat granola bar expect sweet that\x92s get taste good,-0.0585,,,-0.0585,Liking
581,nothing,0,,,0,Liking
581,nothing,0,,,0,Liking
581,nothing,0,,,0,Liking
581,nothing,0,,,0,Liking
581,nothing,0,,,0,Liking
581,nothing,0,,,0,Liking
581,nothing,0,,,0,Liking
581,nothing,0,,,0,Liking
581,nothing,0,,,0,Liking
623,flavor,0,,,0,Liking
623,flavor,0,,,0,Liking
802,flavor,0,,,0,Liking
802,flavor,0,,,0,Liking
581,like texture flavor bar,0.3612,,,0.3612,Liking
623,like texture flavor good balance savory sweet,0.8126,,,0.8126,Liking
802,like crunchiness product,0.3612,,,0.3612,Liking
581,like well much crunchy ness pack small bar,0.5574,,,0.5574,Liking
623,taste good pleasant crunch bite,0.7351,,,0.7351,Liking
802,flavor smoky bbq delicious texture nice crunchy,0.7579,,,0.7579,Liking
581,like bbq flavor,0.3612,,,0.3612,Liking
623,like bar id crunchy,0.3612,,,0.3612,Liking
802,like bar crunchy,0.3612,,,0.3612,Liking
581,right amount bbq spiciness right amount tang,0,,,0,Liking
623,like mild bbq spicy flavor tang,0.3612,,,0.3612,Liking
802,like bbq mild spice also slight tang,0.3612,,,0.3612,Liking
581,like peanut flavor mixed bbq flavor bbq flavor overwhelm,0.3612,,,0.3612,Liking
623,flavor bbq pretty strong im like much thought would,0.6419,,,0.6419,Liking
802,like chunk peanut bar tangy bbq flavor,0.3612,,,0.3612,Liking
581,good bbq taste,0.4404,,,0.4404,Liking
623,smoky,0,,,0,Liking
802,crunchy,0,,,0,Liking
802,crunchy,0,,,0,Liking
802,crunchy,0,,,0,Liking
802,crunchy,0,,,0,Liking
802,crunchy,0,,,0,Liking
581,flavor like nothing ive ever taste,0.3612,,,0.3612,Liking
623,balance flavor,0,,,0,Liking
802,surprisingly burst flavor,0.296,,,0.296,Liking
581,like bbq flavor peanut texture,0.3612,,,0.3612,Liking
623,like bbq flavor combine peanut,0.3612,,,0.3612,Liking
802,love bbq flavor peanut also really like taste smoky flavor little bit sweetness much,0.6667,,,0.6667,Liking
581,strong flavor,0.5106,,,0.5106,Liking
623,savory flavor,0,,,0,Liking
802,like smokey flavor crunchy,0.3612,,,0.3612,Liking
581,like flavor product smoky bbq strong hint sweetness,0.3605,,,0.3605,Liking
623,hint sweet like crunch mixed seed nut flavor,0.6705,,,0.6705,Liking
802,see seedsnuts crunch great hard bite taste hint bbq flavor overpower,0.6593,,,0.6593,Liking
581,liked texture lot crunchy crumbly barbeque flavor pleasant weaker hop smoky flavor aftertaste present bad,0.8649,,,0.8649,Liking
623,like barbeque flavor product enjoy texture product,0.6908,,,0.6908,Liking
802,like smoky flavor barbeque flavor really stand peanut taste peanut taste faint overpower hinder barbeque flavor texture nice little aftertaste,0.5233,,,0.5233,Liking
581,taste like lay bbq chip form delicious nut bar well crunchier texture nut bar,0.8922,,,0.8922,Liking
623,like savory taste texture though taste doesnt stand like bar,0.6124,,,0.6124,Liking
802,flavor texture make perfect savory snack,0.657,,,0.657,Liking
581,like smokey flavor,0.3612,,,0.3612,Liking
623,look,0,,,0,Liking
802,like light crisp crunch tang flavor,0.3612,,,0.3612,Liking
581,like barbeque flavor go well nutty crunchiness bar,-0.4449,,,-0.4449,Liking
623,barbecue taste little tangy,0,,,0,Liking
802,im fan barbeque flavor bit strong doesnt go well nuts,-0.1965,,,-0.1965,Liking
581,salty smoky,0,,,0,Liking
623,good combination ingredient best one far,0.7964,,,0.7964,Liking
802,still much bbq flavor well salty still power everything else,0.2382,,,0.2382,Liking
581,crunchy nutty peanut good,0.4404,,,0.4404,Liking
623,crunchy salty nutty taste,0,,,0,Liking
802,crunchy nutty salty nice touch bbq flavor,0.4215,,,0.4215,Liking
581,perfect crunchy level crunchy,0.5719,,,0.5719,Liking
623,odd flavor isn\x92t,-0.3182,,,-0.3182,Liking
802,consistent nature valley bar crunchy fresh taste despite love flavor,0.7455,,,0.7455,Liking
581,nut seed seem somewhat healthy good crunch,0.4601,,,0.4601,Liking
623,taste best 3 crunch content good,0.7964,,,0.7964,Liking
802,good crunch healthy ingredient,0.6808,,,0.6808,Liking
581,nice crunch like smokey taste,0.6486,,,0.6486,Liking
623,crunch firm smokiness nice flavor nut come,0.128,,,0.128,Liking
802,bbq flavor clear obvious wish tad bit salt bbq flavor obvious love less sweetness help bar taste savory,0.9506,,,0.9506,Liking
581,ive never bbq style nature valley bar completely unique compare product type im surprise well work prominent ingredient sense roast peanut sunflower seed almond love bbq flavor aftertaste wonderful really set apart,0.9217,,,0.9217,Liking
623,bbq taste nature valley bar never expect combination roast peanut almonds sunflower seed top bbq flavoring work well bar form taste really good deal maker,0.7126,,,0.7126,Liking
802,newness offer comparison rest market didnt think bbq flavor nature valley bar would work totally taste great sunflower seed roast peanut prominent ingredient compliment,0.9294,,,0.9294,Liking
581,like crunch bar thats,0.3612,,,0.3612,Liking
623,flavor bbq perfect strong weak crunch perfect well,0.5991,,,0.5991,Liking
802,like crunchiness taste bbq overpower previous one nice smokiness well,0.7506,,,0.7506,Liking
581,interest flavor expect get initial shock see would crave savory saltiness,0.0258,,,0.0258,Liking
623,good crunch flavor,0.4404,,,0.4404,Liking
802,bbq taste crunch,0,,,0,Liking
581,healthy,0.4019,,,0.4019,Liking
623,also healthy well,0.5859,,,0.5859,Liking
802,healthy well,0.5859,,,0.5859,Liking
581,like bar like genre,0.6124,,,0.6124,Liking
623,like taste slightly,0.3612,,,0.3612,Liking
802,dont really like,-0.3241,,,-0.3241,Liking
581,tasty slight nutty sweetness along side salty savoriness rest bar slight spicy kick,0.4939,,,0.4939,Liking
623,satisfy want crunchy salty snack little spice wholesome peanut seed ingredient,0.5563,,,0.5563,Liking
802,really savory really taste salty sweet peanut like smoky bbq flavor overlay well,0.765,,,0.765,Liking
581,nice crunch hard taste really good,0.7422,,,0.7422,Liking
623,think best bar three look taste crunch perfect,0.836,,,0.836,Liking
802,way hard bite,-0.1027,,,-0.1027,Liking
581,savory bbq flavor enough salt hit spice bar wasnt crumbly two like tell grain whole grain,0.3612,,,0.3612,Liking
623,crumbly see whole grain nice spice would like spice,0.631,,,0.631,Liking
802,much smoky flavor see whole grain crumbly nature valley bar,0,,,0,Liking
581,sample smoky bbq taste hint sweetness also crunchy flavor stay mouth bit swallowing product,0.4939,,,0.4939,Liking
623,thing like product crunchiness appearance healthy ingredient,0.6369,,,0.6369,Liking
802,sample taste savory first sample taste bbq flavoring,0,,,0,Liking
581,like texture amount nut seed also think good amount crunch,0.4767,,,0.4767,Liking
623,like nut seed product like amount crunch also like one bit sweetness others,0.8268,,,0.8268,Liking
802,like nut seed like crunch like option savory bar thats unique product,0.6369,,,0.6369,Liking
581,like tangy bbq flavor great crunch satisfy savory nut flavor,0.8625,,,0.8625,Liking
623,great texture crunch nice bbq flavor tangy,0.7845,,,0.7845,Liking
802,like savory flavor,0.3612,,,0.3612,Liking
581,like flavor product taste artificial,-0.2755,,,-0.2755,Liking
623,like taste something,-0.2755,,,-0.2755,Liking
802,product bitter taste cant put finger taste like bbq,-0.5522,,,-0.5522,Liking
581,crumbles bite fall apart really smoky flavor come little bitter,-0.3626,,,-0.3626,Liking
623,perfectly crunchy doesnt fall apart eat flavor delicious perfect size,0.9118,,,0.9118,Liking
802,taste really good clean smokey much bbq flavor really good,0.811,,,0.811,Liking
581,like upfront bbq flavor also taste rest component snack well,0.5267,,,0.5267,Liking
623,bbq isnt overpower little weak time,-0.5284,,,-0.5284,Liking
802,like fact bbq flavor isnt strong 581 peanut flavor come,-0.0521,,,-0.0521,Liking
581,love savory sweetness bar immediately reinforce unique peanut flavor round smoky bbq flavor delicious cant believe wholesome healthy,0.9401,,,0.9401,Liking
623,bar good savory taste smoky bbq flavor really come well especially back throat nose smell entice there also nice taste hint sweet salty savory,0.6738,,,0.6738,Liking
802,like peanut taste smoky bbq flavor bar also crunchy much there also sweetness,0.754,,,0.754,Liking
581,doesn\x92t taste good,0.4404,,,0.4404,Liking
623,flavorful others overwhelm,0,,,0,Liking
802,nothing,0,,,0,Liking
802,nothing,0,,,0,Liking
802,nothing,0,,,0,Liking
802,nothing,0,,,0,Liking
