product_code,liking,liking_free_text,meets_expectation,meets_expectation_free_text,product_improvement_free_text
802,9,Sweet and BBQ flavor very tasty,5,Its unique flavor makes me less guilty for eat it,stronger flavors of BBQ
581,7,I like the strong nut taste. The roasted peanuts are the first ingredient and I'm a big fan of peanuts. I like how the product does not fall apart as easily as other Nature Valley products I have had before.,4,"The shape, texture, and crunch are similar to what I would expect from a Nature Valley product. I rated it slightly better than expected since I enjoyed the peanuts throughout the product.",I would make it a more subdued bbq flavor.
623,7,I like the crunch and nutty taste.,3,The bar goes with Nature Valley and is what I would expect for this product. The flavor is good but just a little strong for me and could tone down a little.,A little less BBQ flavor and more nut flavor.
802,7,"The crunch, the nuttiness.",3,"The product has a similar look, shape, texture, and crunchiness as other Nature Valley products.",A little less BBQ flavor and more of the nut flavor.
581,3,Love that it has the familiarity of a nature valley bar—bbq flavor is a miss though—had a burnt after taste,2,Was expecting better bbq flavor,Better flavor
623,7,Bbq flavor is great—great crunch,3,Bbq flavor was great and still identifiable as a nature valley bar,After taste is a little too artificial/plasticky
802,7,Texture is great—this one has a bit of a spicy zip,3,Great crunch and not too hard; could definitely use more bbq flavor though,The taste is a little off—like chemical-y
581,9,The Appearance It has really good flavor. the way the peanuts are seasoned and the crunch,5,it was seasoned way better than I expected and tasted fresher than I expected it to taste,I would make it a little bit bigger or have two bars per pack
623,9,The Appearance. The Flavor and the way the bar and peanuts are seasoned.,5,I didnt expect it to be seasoned so well and be as fresh as it tasted,I would make the serving size bigger or add another bar to the package and make it a two bar pack
802,9,The appearance. The way The bar and peanuts are seasoned and the freshness I didnt expect it to taste so fresh,5,The freshness and the overall taste,I would make the bar a little bit bigger or offer it as a two bar pack
581,6,"the BBQ flavor, it's not over powering",4,I did not thing that a BBQ Granola Bar would be any good,a little sweeter and little spicer flavor
623,7,The BBQ flavor had a little bit of spice to it,5,"Again, I just didn't think BBQ and Granola would go well together",make it a little sweeter
802,4,the flavor is overpowering and leaves an after taste,3,"This was what I was expecting,  The BBQ overpowered the granola",make it sweeter
581,7,I like the flavor and crunchiness. It also has a salty finish to it that makes me want another bite.,3,I expected the crunchiness nature valley bars offer with bbq flavor and that's exactly what I got. I do like that they are not as messy as the originals.,I would leave it the same as it is honestly.
623,2,"nothing, its got flavor but its more plain to me",2,it didn't have much flavor,add more flavor
802,6,I don't really like it but I don't really hate it either. Its kinda in the middle.,2,it didn't meet my expectations didn't have much of a bbq flavor,more flavor
581,2,Its crunchy it has a nice crunchy texture thats it!,1,It expected the same taste as barbeque potatoe chips they usually nail it on the head with a bbq taste.  Its crunchy so I expected to have the same hit in my mouth.  It it alright but not in a good way I could barely swallow it,The overall taste it barely has a barbeque flavor.  It really taste like a bunch of seasonings that doesn't match well blended.
623,2,its crunchy,1,Its extremely unpleasant to taste,taste the seasoning blend needs a big improvement.
802,2,Its just plain nasty small amount of barbeque flavor,1,I was really expecting a real bbq in my mouth a cookout yet I received a boxing match.  Just a bunch of flavors fightings for a spot.,Add more barbeque flavor and less of whatever season blend chosen.  Use more of a KC Masterpiece or Sweet Baby Rays flavor
581,7,"I like that it has nuts and nature valley, in general, is good for you. It has an addictive savory flavor.",3,"The pictures that I saw before looked great, but the idea and flavor just aren't appealing. It tastes smokey and savory, but I wouldn't reach for this in the grocery store.","It may just be in my head, but bbq flavor doesn't fit in a bar for me. Perhaps tone the bbq down. It does make me want another bite, but I doubt I would purchase it. I feel like I would still grab chips instead of this healthy alternative."
623,3,The nuts and grains. It looks fine,3,I didn't expect it to taste great. Bbq-flavored nut crunch? The pictures looked good. The flavors aren't mixing well for me,Not include the bbq flavor
802,3,The nuts and grains. It's everything I would want out of a bar except for the flavor,2,"After several tries, The bbq flavor just doesn't work with the bar. It is tasty but I wouldn't purchase this","Less bbq flavor. I answered a question saying this is what I'd expect it to taste like, but it actually is a bit worse than I expected."
581,7,"has a good amount of BBQ sweetness. Like that it has peanuts and seeds as primary ingredients. a tad spicy. A good snack when you don't want a bunch of sugar, tho i may be wrong",4,i thought it would be all savory but the sweetness saved the day,a very tiny increase in sweetness and a litle less throat burn
623,6,Product is hearty with nuts and seeds. a slight BBQ sweetness and no throat burn,3,"that the savory would be pronounced, with bbq flavor",slight bit sweeter
802,7,"slightly sweet, bbq flavor is there and crunchy buts and seeds are great",3,"noticeably smoky, bbq, more savory than sweet","slightly less smoke, slightly more sweet"
581,7,"I like the bite of nuts and the bbq flavor. It's light and not over-powering. Very subtle, while tasting the seeds and wholesomeness it says it's providing! I like that!!",5,"I like how it was made savory, with a slight hint of sweet somewhere in there?  The bite and consistency is good.","I could do a little more flavor myself, more nuts.  The bar had started to crumble in packing by the time I opened it, but the level of crunch is perfect.  Too hard would be a downfall."
623,8,I like the taste and the texture is good. The lasting/after-bite makes me want more.,4,"I enjoy nature valley product already, to have the option to incorporate savory is very innovative on the company!",More nuts!
802,8,"I like the flavor and the savory bites, the seeds and nuts along with texture is a good balance.",4,"The packaging (plain white) didn't give me that Nature valley expectation of goodness, but it shine through like the rest of their products.","I believe it's goods as is, me personally could use more BBQ flavor.  But honestly, I think the light flavor makes you want to eat more!"
581,6,I like that you can see and taste the nuts and seeds in the product. The smokey BBQ flavor is subtle but detectable.,3,"I know what BBQ flavor tastes like, and this was about as expected.",Add just a touch of sweetness. Make it a tad less crumbly.
623,4,"I can see the seeds and nuts, which makes me think it's healthy.",2,It has a slightly burnt flavor and look to it. It is a little more crumbly than I had expected.,Cook it for a little less time. It tastes a little burnt.
802,7,The flavor is enjoyable. The nuts and seeds are visible. It seems to be cooked properly.,3,It tastes like smokey BBQ as I expected.,"Make it a tad less crunchy, and perhaps add a tiny bit of sweetness."
581,6,Was a little lacking in flavor,3,"I expected it to be a sort of bland, not really there flavor","Slightly more flavor needs to be added, not quiet as hard"
623,8,I really like the flavor of this one. It has a LOT of flavor and I tend to gravitate towards things with lots of flavor,5,"Even though it is nuts and a bar, it tastes just like BBQ. I would almost pick this over BBQ chips if they had little snack sized pieces",Nothing
802,4,It doesn't seem to have much flavor... This specific product showed up completely crushed and so it was hard to taste,2,Lacking in flavor to me,It doesn't seem to have been as hard as the other two
581,6,"Sort of subtle, almost like a Lay’s BBQ chip, definitely savory, good crunch",2,Too dry of an aftertaste,"A little too bitter - too much paprika or chili powder, very dry finish"
623,1,That there are seeds I can see,1,Just so gross! Wanted to love a BBQ taste but way too bitter or worchershire  sauce taste,"Bitter, too strong of a smell and a pungent flavor that is disgusting"
802,7,"Savory, BBQ flavor, crunchy, seeds",3,"Savory, not overly flavorful but still slightly Smokey and salty","Maybe a bit of cheesy flavor, like cheddar"
581,7,Tastes great,4,Great product,Nothing
623,7,Great texture,3,It just sounds great,Different color
802,7,Tastes great,3,Looks great,More crunch
581,8,I like the peanuts.  I like the crunch and the light barbecue taste.,3,"I expected a crunchy barbecue flavored peanut bar, and that is what I got.",Nothing
623,8,I like the crunch.  I like the barbecue flavor and the peanuts.,3,"I was expecting a crunchy barbecue flavored bar, and that is what I got.",Nothing
802,8,I like the crunch.  I like that they are made of peanuts.  I like the barbecue flavor.,3,"I expected a crunchy barbecue flavored peanut bar, and that is what I got.",Nothing
581,8,In my opinion very similar to 623 but I feel like this one has a bit of spice and not as much smokiness but the flavor is better,4,its very good and has a better texture but I still like 623 the best,a tad less crunchy and more bbq!!
623,9,It the perfect amount of crunch and has a really smokey bbq flavor and I love it,5,Certain bbq snacks ive tried can not perfect the bbq taste and I love the taste of this,add a little more flavor
802,4,"overall only the flavor and not really that, its too minimal that it seems like I'm just eating nuts",2,It seems like this bar is rock hard compared to the others and very minimal flavor,More flavor and less crunchy
581,7,Pleasant strong and bold taste. Spicy aftertaste. Crunch level was about right. Savory tasting,3,"Bar was savory and delicious. BBQ flavour was strong and bold, but not overpowering.","It was a little too sweet for my liking. I was looking for a savory bar, but this was sweet and salty."
623,7,"Savory. Good amount of spice and taste while eating. Pleasant spicy and smoky aftertaste. When eating, you can taste the nuts and high quality ingredients that are well seasoned into a crunch.",4,It's savory. It is nut based. And it's very crunchy. I was surprised at how tasty it is.,"I would like to taste to be stronger while eating. most of the pleasant taste comes as an after taaste, after I have swallowed the product.    In the look, i would make it more airy and less dense, to mimic more the nature valley crunchy bars. These bars look sloppily made."
802,8,"Stronger smoky taste during eating experience. The product also had a pleasant spicy kick aftertaste that is not too strong. The bar tastes wholesome with the nut flavors being noticeable, but not dominant.",5,"The bar was delicious. I was skeptical of a savory bar, however, this bar exceeded my expectations. It is very flavorful, with the BBQ smoky flavors very prominent but not overpowering.","I would like this product to be slightly crunchier, as well as change the look. The bar is very bland and orange colored."
581,3,good crunch,3,didnt expect much,make it more sweet
623,2,"its too salty, dont taste much flavor other than salt",3,i didnt think it would be good,add a lil more sweetness
802,3,its got good crunch,3,i didnt have good expectations about this,needs a lil more sweet
581,7,"Like the texture, variety and crunch",3,"Good taste, just a little too spicy","It’s a little too spicy. Also it’s a little wide - a longer, more narrow shape would be better."
623,8,"Texture, flavor, variety of ingredients",4,"I thought it might be weird, but the flavors actually go really well together. I’d be curious to see how it stacked up against barbecue chips.","It’s a little wide - a longer, more narrow shape would be better. Also this is the saltiest of the three, so lower the sodium. It definitely tastes unhealthy."
802,8,"Texture, variety of ingredients, flavor",4,"Flavor is good, definitely satisfies a savory need","It’s a little wide - a longer, more narrow shape would be better."
581,3,I expected the bar to be a combination of sweet and savory however there was only a presence of savory.,2,Too much smoky BBQ flavor but the crunchy/overall texture was perfect.,I would add a sweetness to the bar possibly more a of a sweet BBQ flavor.
623,1,I like the texture of the bar and that is very crunchy.,2,"The BBQ flavor is over powering, needs something to tone the flavor.",I would attempt to add a bit of sweetness to the bar.
802,4,The texture of the bar.,2,I expected the bar to be crunchy but not so much BBQ and smoky flavor.,Lower the BBQ flavor and a little sweetness.
581,7,"Textures of seeds and nuts, savory",4,Had nice crunch and overall barbeque flavor,"less salt, a little more sweetness"
623,8,"spicy, crunchy, savory flavors",4,Wasn't sure from the first glance I would enjoy it.  A bit one-note in appearance.,Maybe a little more textures or bigger chunks of nut
802,7,"crunchy, spices",3,Met the definition but did not wow me,"A little more diverse texture, color and flavor"
581,6,"Perfect size for a snack, color of the product, and texture. It had a great mouth feel.",4,"Peanut flavor is much too overpowering. The bar is on the right track. Less peanut, a pinch more BBQ and it would be perfect.",The peanut flavor is overpowering that it's hard to find the BBQ flavor. It's very odd. My first bite all I tasted was peanut. After a few bites I tasted the BBQ flavor.
623,6,Perfect amount of crunch and mouth feel. It was crunchy but not too crunchy. I liked how the product was easy to hold and didn't fall apart.,2,The BBQ flavor was extremely overpowering. I didn't like how the product made my mouth taste like BBQ for a while afterward.,The BBQ flavor is way too strong!!!! It's overwheelming
802,6,The product has a great texture and mouth feel.  The BBQ flavor is almost about right. I think it is still slightly a bit strong especially for a bar.,4,The flavor is almost there but still a bit strong. It's hard to really saw how well it met my expectations since there is nothing like it on the market currently. I think that's what's making this hardered.,Tone down the BBQ flavor. It's a bit munch.
581,6,It's crunchy and savory,2,It's not bbq enough.  It gives a hint but not enough.,More bbq.  It seems like it has less of a punch of the bbq flavor than the others.
623,8,I like the crunch and the bbq flavor that hits after a few seconds.,3,It tastes like the regular version at first and then the bbq kicks in.  I expected it to taste like bbq and it does,Stronger bbq flavor upfront
802,8,I like the strong bbq flavor that's left as an aftertaste and I like the crunchiness.  It would be a good salty craving snack.,3,It's a crunchy bbq snack just like I expected.  I'm definitely left with the bbq flavor in my mouth as expected.,I like the bbq flavor but it takes time to kick in.  I would like more bbq flavor upfront
581,5,The crunchyness of the product i like and its not has an overly strong bbq flavor.,3,The texture and hardness of the granola bar is what I was expecting from a product like this .,The bar could be slightly harder or crunchier.
623,4,I like that it is crunchy and i enjoy the texture,2,It was crunchy and tasted like a granola bar,I think the bbq flavor is very strong and different to this type of texture and flavor
802,5,I like the crunchyness of the product,2,The product met my expectation with the good texture of the granola bar.,The bbq flavor is off putting but not as strong on this sample
581,3,it's a bit better than previous 2,2,it's still bad. Just doesn't taste good.,taste
623,3,nothing,1,I love bbq potato chips. But this is simply bad.,"I honestly have no idea, It's just bad"
802,2,nothing,1,It tastes awfully,taste
581,8,nice well rounded flavor. works well together,5,flavors worked very well together. just the right amount of all,maybe just a little sweeter
623,7,liked the smokey taste. it was different,4,usually people add too much smoke flavor and it tastes like a grill,"maybe a slight bit sweeter. sweet, salty and smoke go well together"
802,7,nice smoke flavor. not as much as other one. maybe a little sweeter,4,sometimes getting the smoke flavor right is hard to do.,make a little sweeter
581,8,"The flavor is extremely well balanced. It is a satisfying snack that has the right combination of textures as well. Crunchy granola bars are expected to be a little bit crumbly, but this product holds together well and only a little sunflower seed fell off when I took my next bite. This made me feel like I was eating a wholesome bar with more natural ingredients rather than a mystery mash.",4,"The bar is thicker than I expected for the nature valley two slim bars packed together. It makes it more substantial and filling. The flavors are introduced to the tasting palette in a desirable and satisfying way. After the first two snack tests, I wasn't sure I was going to love any of the three, but this bar leaves me wishing I had more.","This bar hits a lot of my snacking ideals, I don't think any changes would necessarily improve it. There could be variations of sweet barbecue, spicy barbecue and just this current version as the standard base barbecue."
623,7,"It has a balanced, satisfying flavor. It isn't too hard on the teeth to chew and it reminds me of a more substantial barbecue chip. It would be more filling than a bag of chips but offers the same flavor, so would satiate an appetite more effectively.",3,"It has a barbecue flavor and the peanuts are visible. I was expecting a crunch and at first bite, this bar provided it.","My bar was quite crumbled despite being shipped in a box with packaging paper. Furthermore, the product fell apart more readily in my mouth when chewing. This isn't necessarily a bad thing, as flavor can be distributed more effectively, but it was unexpected for a crunchy granola bar. I'm more used to feeling the texture of the ingredients when chewing a bar and this felt more airy or buttery."
802,4,The crunch factor is very satisfying. This product has a good texture and allows for an adequate amount of chewing. It stayed in a bar shaped and you can visually see the composition of nuts.,2,I was expecting more of a barbecue flavor. Onion and barbecue usually work in conjunction with one another but I'd describe this bar as more of a  smoky onion barbecue  than a  smoky barbecue with onion,"The onion flavor is overpowering. It is initially very strong and supersedes the anticipated barbecue flavor. While chewing, the bar begins to taste more like a peanut but the after flavor is again more like an onion."
581,8,"While it is crunchy, does seem easier to chew.",4,"It was crunchy but not sure I'd describe it as hard.  Adding a savory flavor to a granola bar seems like a good idea, but one I hadn't tried before.",Slightly more BBQ flavoring.
623,7,"I like the BBQ flavor, but there is a weird after-taste that I cannot quite describe.",3,I wasn't really sure what to expect for a product like this.  I thought the flavoring was decent to my taste and so fit expectations.,A little stronger BBQ flavoring.
802,8,I didn't have a weird after-taste.  I also liked the flavor of the BBQ.,4,I haven't had a BBQ bar before this taste test.  This was better than I expected.,A little less hard/crunchy.
581,4,The same thing as the others. I like the peanut butter taste and the crunchiness.,2,I just expected it to have more of an enjoyable flavor.,"Less peanut butter, more BBQ. Or more of a meaty taste."
623,4,The sunflower seeds.,2,I didn't really like the flavor. The peanut butter flavor was more smoky and I didn't like it.,Not so much of a peanut butter flavor and more of BBQ.
802,4,I liked the crunch to it and also some of the peanut butter flavor.,2,I thought it would taste more like BBQ and not so much of peanut butter.,"More smoky taste, less peanut butter."
581,7,This sample was a lot crunchier than the second one I tried which is a lot better already. It also does not leave any after taste.,3,Th crunchiness of this bar was spot on and had a good consistency. It did not break off as easily and stayed solid through the whole tasting.,This sample did have a bit more seasoning as well but it wasn’t overpowering.
623,8,This product is actually amazing and the flavor profile is definitely there. I’m always looking for a healthier alternative to bbq chips or something crunchy with flavor and this hit the spot just right. The aftertaste wasn’t as bad as I expected either.,4,I wasn’t expecting the flavor to be as amazing as it was specially icoming from nature valley. It was very bbq flavored which I love.,I think the only thing I would change about it would be the amount of crunchiness because I made a bit of a mess.
802,7,"I really like how it looks however, it looks as if it has too much “seasoning” if that makes sense.",3,Nature valley is usually this crunchy and stable as far as a bar goes but not in color of course. It also does look a lot more shinnier than regular bars.,I think will change the way the product looks on the outside and how it’s covered in kind of coloring.
581,8,i like the flavors i can taste nuts sunflowers and the BBQ all at the same time so like that. that it taste different.,5,well never taste it anything like it. the taste is different and i liked how different but good it is.,I would make the BBQ less strong and also the hardiness a little more softers.
623,8,I like that it taste like smokey BBQ and also because is really crunchy and also because i can taste the peanuts and sunflower,4,I think this product is unique and taste really good did not thought it was gonna be that good and different.,i would make the BBQ less strong
802,8,like that it different and i like that it taste like BBq and also like that is crunchy,4,never taste something like this but it taste actually really good,i would just change the strong of the BBQ
581,9,I like the look and the crunch. I also enjoy the bbq taste with the peanuts. This is something new and different for me and I see myself always buying this.,5,It’s new and different and the combination of bbq and peanuts together taste great.,I wouldn’t change a thing.
623,9,"I love the crunch, bbq taste. I love that it has sunflower seeds and peanuts giving my tastebuds a different experience.",5,This is new and different and because you read bbq you think it will not taste good with peanuts but that wasent the case,I wouldn’t change anything about this product it’s perfect as is.
802,9,Love the crunchiness of the bar. I love the bbq taste the peanuts and sunflower seeds,5,This is new and different I love the bbq taste on a bar,I wouldn’t change a thing
581,7,I like the taste of this one.  All flavors and ingredients are just right.,5,I like this one and it taste much better than the other two,"Nothing, it is just right"
623,2,I do not like anything about it.,1,"I do not like the taste, the appearance and the flavors a confusing.",I do not like the taste of the product and its just confusing to me to eat BBQ in a bar.
802,6,The bbq taste is not as strong as the other one and it taste pretty good.,4,My answer is based on tasting this sample and the other bbq one.  This product is a little better that the other one and I like that it has less bbq and salty flavor.,I am not sure what to change to make it better but I like it a little bit.
581,9,the flavor and crunch,4,It has a nice crunch and just enough savory and sweetness,It has a little of an aftertaste
623,9,Its sweet yet savory and i love the crunch,5,I usually don't like sweet and savory things together but this is delicious,nothing
802,4,appearance and crunch,2,I expected it to not have an aftertaste,too much barbeque flavor and has an unpleasant aftertaste
581,5,I like the crunch and that is is unique but it isn't memorable for me.,2,"It doesn't have enough of the smoky BBQ flavor, in my opinion",It is lacking in the smoky BBQ flavor
623,4,"I like the smokiness and the crunch. I like that I can see the ingredients used, too.",3,I was expecting it to be different and slightly unfulfilling from the smoky BBQ angle.,"It tastes like it's missing something. Almost like this is what I would eat if I really wanted BBQ chips but I'm trying to eat healthier. I'd eat it, but I wouldn't be happy about it and I'd probably end up eating the chips anyway. Lol."
802,7,I like the salty/sweet combo. The BBQ flavor is present in a good way as well. Very satisfying.,5,"I was expecting it to be lackluster but this version is smoky, slightly sweet, savory, and the taste afterwards is good.",Can't think of anything I'd change; this one is good.
581,5,Flavor was pretty good,3,Did not really know what to expect,Less crunchy
623,3,Crunchy with a slight BBQ taste,2,"Wasn't what I was expecting, had a very confusing taste",Make it sweeter
802,3,"Crunchy, good nutty flavor",3,I didn't really know what to expect although the BBQ flavor was not very strong.  Was more of a nutty flavor,Make the flavor stronger
581,9,I love the savory taste. You taste a hint of barbeque and a very nutty flavor.,5,The flavor is amazing. You taste a hint of bbq and  a nutty flavor. It goes very well together.,I would just make it a little bit softer.
623,9,I love the flavors of barbeque and peanuts. They blend together nicely. It is also not too hard to bite into.,5,I love the crunchiness and the flavors. I love the barbeque and nutty flavors.  It is also not too hard to bite into.,I would just make this product a bit larger.
802,9,I love the barbeque flavor. I love that you can see and taste the peanuts in bar.,5,"I thought the barbeque flavor was going to be really strong and overpowering, but it was a great smoky flavor. I wanted to keep eating the bar.",I would also make a softer version of this bar.
581,2,"Very crunchy, slightly softer.  Good appearance.  Can see and taste more of the nuts in this one.",2,Not nearly enough flavor.  Kind of a flavorless bar.,Needs more flavor.
623,8,"Good amount of flavor.  This is my favorite of the 3.  It may be the softest.  No residue on hands.  The flavor is not over-powering like the first one, and has more flavor than the second one.",4,It has a smoky BBQ taste.  You can taste the nuts as well.,"Needs a little bit more flavor, like 10-20 percent stronger."
802,4,"Very crunchy, strong flavor.",2,"It has the most flavor of the three bars, but perhaps too much.  The after taste is over-powering, and I am concerned about my breath now.",Strong after taste.  I would be looking for a mint or mouthwash after finishing it.
581,7,I am a big bbq fan of practically everything and this has a distinct smoked bbq taste the aftertaste is very firm and constant,4,"i don't normally associate a nature valley crunchy snack/breakfast bar with bbq rather peanut butter, almonds, and granola. I thought the initial thought of a bbq bar was sort of gross, but it really blew away my very low expectations",nothing substantial comes to mind. maybe a darker color to which I associate bbq being
623,7,The consistent aftertaste and texture,4,I don't normally put this combo together via bbq and a granola bar,nothing comes to mind
