product,Question,Response,Sentiment Score,Response value,lemm
BBQ - Test 14,Liking,I like the crunchiness and the look of the product. I can see it has nuts in it and that it healthy,44.04,7,"['like', 'crunchiness', 'look', 'product', 'see', 'nut', 'healthy']"
BBQ - Control (Texas BBQ),Liking,this one was difficult to decide whether i liked or disliked at first.  i do like the tangy flavor of this bar after having more than the initial taste. i like the texture of the bar.,38.18,6,"['one', 'difficult', 'decide', 'whether', 'liked', 'dislike', 'first', 'like', 'tangy', 'flavor', 'bar', 'initial', 'taste', 'like', 'texture', 'bar']"
BBQ - Test 13,Liking,i like the texture of the bar.,36.12,2,"['like', 'texture', 'bar']"
BBQ - Test 14,Liking,i like the initial flavor upon eating. i also like the aftertaste of this bar. i like the texture as well.,82.25,7,"['like', 'initial', 'flavor', 'upon', 'eat', 'also', 'like', 'aftertaste', 'bar', 'like', 'texture', 'well']"
BBQ - Control (Texas BBQ),Liking,Crunchy and savory with a hint of sweetness.,49.39,8,"['crunchy', 'savory', 'hint', 'sweetness']"
BBQ - Test 13,Liking,BBQ flavor,0,8,"['bbq', 'flavor']"
BBQ - Test 14,Liking,Sweet and BBQ flavor very tasty,45.88,9,"['sweet', 'bbq', 'flavor', 'tasty']"
BBQ - Control (Texas BBQ),Liking,I like the strong nut taste. The roasted peanuts are the first ingredient and I'm a big fan of peanuts. I like how the product does not fall apart as easily as other Nature Valley products I have had before.,90.01,7,"['like', 'strong', 'nut', 'taste', 'roast', 'peanut', 'first', 'ingredient', 'im', 'big', 'fan', 'peanut', 'like', 'product', 'fall', 'apart', 'easily', 'nature', 'valley', 'product']"
BBQ - Test 13,Liking,I like the crunch and nutty taste.,36.12,7,"['like', 'crunch', 'nutty', 'taste']"
BBQ - Test 14,Liking,"The crunch, the nuttiness.",0,7,"['crunch', 'nuttiness']"
BBQ - Control (Texas BBQ),Liking,Love that it has the familiarity of a nature valley barbbq flavor is a miss thoughhad a burnt after taste,55.74,3,"['love', 'familiarity', 'nature', 'valley', 'bar\x97bbq', 'flavor', 'miss', 'though\x97had', 'burnt', 'taste']"
BBQ - Test 13,Liking,Bbq flavor is greatgreat crunch,0,7,"['bbq', 'flavor', 'great\x97great', 'crunch']"
BBQ - Test 14,Liking,Texture is greatthis one has a bit of a spicy zip,0,7,"['texture', 'great\x97this', 'one', 'bit', 'spicy', 'zip']"
BBQ - Control (Texas BBQ),Liking,The Appearance It has really good flavor. the way the peanuts are seasoned and the crunch,49.27,9,"['appearance', 'really', 'good', 'flavor', 'way', 'peanut', 'season', 'crunch']"
BBQ - Test 13,Liking,The Appearance. The Flavor and the way the bar and peanuts are seasoned.,0,9,"['appearance', 'flavor', 'way', 'bar', 'peanut', 'season']"
BBQ - Test 14,Liking,The appearance. The way The bar and peanuts are seasoned and the freshness I didnt expect it to taste so fresh,45.72,9,"['appearance', 'way', 'bar', 'peanut', 'season', 'freshness', 'didnt', 'expect', 'taste', 'fresh']"
BBQ - Control (Texas BBQ),Liking,"the BBQ flavor, it's not over powering",0,6,"['bbq', 'flavor', 'power']"
BBQ - Test 13,Liking,The BBQ flavor had a little bit of spice to it,0,7,"['bbq', 'flavor', 'little', 'bit', 'spice']"
BBQ - Test 14,Liking,the flavor is overpowering and leaves an after taste,0,4,"['flavor', 'overpower', 'leaf', 'taste']"
BBQ - Control (Texas BBQ),Liking,I like the flavor and crunchiness. It also has a salty finish to it that makes me want another bite.,42.15,7,"['like', 'flavor', 'crunchiness', 'also', 'salty', 'finish', 'make', 'want', 'another', 'bite']"
BBQ - Test 13,Liking,"nothing, its got flavor but its more plain to me",0,2,"['nothing', 'get', 'flavor', 'plain']"
BBQ - Test 14,Liking,I don't really like it but I don't really hate it either. Its kinda in the middle.,56.6,6,"['dont', 'really', 'like', 'dont', 'really', 'hate', 'either', 'kinda', 'middle']"
BBQ - Control (Texas BBQ),Liking,Its crunchy it has a nice crunchy texture thats it!,47.53,2,"['crunchy', 'nice', 'crunchy', 'texture', 'thats']"
BBQ - Test 13,Liking,its crunchy,0,2,['crunchy']
BBQ - Test 14,Liking,Its just plain nasty small amount of barbeque flavor,-55.74,2,"['plain', 'nasty', 'small', 'amount', 'barbeque', 'flavor']"
BBQ - Control (Texas BBQ),Liking,"I like that it has nuts and nature valley, in general, is good for you. It has an addictive savory flavor.",47.67,7,"['like', 'nut', 'nature', 'valley', 'general', 'good', 'addictive', 'savory', 'flavor']"
BBQ - Test 13,Liking,The nuts and grains. It looks fine,-12.8,3,"['nut', 'grain', 'look', 'fine']"
BBQ - Test 14,Liking,The nuts and grains. It's everything I would want out of a bar except for the flavor,-25,3,"['nut', 'grain', 'everything', 'would', 'want', 'bar', 'except', 'flavor']"
BBQ - Control (Texas BBQ),Liking,"has a good amount of BBQ sweetness. Like that it has peanuts and seeds as primary ingredients. a tad spicy. A good snack when you don't want a bunch of sugar, tho i may be wrong",80.08,7,"['good', 'amount', 'bbq', 'sweetness', 'like', 'peanut', 'seed', 'primary', 'ingredient', 'tad', 'spicy', 'good', 'snack', 'dont', 'want', 'bunch', 'sugar', 'tho', 'may', 'wrong']"
BBQ - Test 13,Liking,Product is hearty with nuts and seeds. a slight BBQ sweetness and no throat burn,-7.72,6,"['product', 'hearty', 'nut', 'seed', 'slight', 'bbq', 'sweetness', 'throat', 'burn']"
BBQ - Test 14,Liking,"slightly sweet, bbq flavor is there and crunchy buts and seeds are great",77.87,7,"['slightly', 'sweet', 'bbq', 'flavor', 'crunchy', 'buts', 'seed', 'great']"
BBQ - Control (Texas BBQ),Liking,"I like the bite of nuts and the bbq flavor. It's light and not over-powering. Very subtle, while tasting the seeds and wholesomeness it says it's providing! I like that!!",55.38,7,"['like', 'bite', 'nut', 'bbq', 'flavor', 'light', 'overpower', 'subtle', 'taste', 'seed', 'wholesomeness', 'say', 'provide', 'like']"
BBQ - Test 13,Liking,I like the taste and the texture is good. The lasting/after-bite makes me want more.,69.08,8,"['like', 'taste', 'texture', 'good', 'lastingafterbite', 'make', 'want']"
BBQ - Test 14,Liking,"I like the flavor and the savory bites, the seeds and nuts along with texture is a good balance.",47.67,8,"['like', 'flavor', 'savory', 'bite', 'seed', 'nut', 'along', 'texture', 'good', 'balance']"
BBQ - Control (Texas BBQ),Liking,I like that you can see and taste the nuts and seeds in the product. The smokey BBQ flavor is subtle but detectable.,2.58,6,"['like', 'see', 'taste', 'nut', 'seed', 'product', 'smokey', 'bbq', 'flavor', 'subtle', 'detectable']"
BBQ - Test 13,Liking,"I can see the seeds and nuts, which makes me think it's healthy.",10.27,4,"['see', 'seed', 'nuts', 'make', 'think', 'healthy']"
BBQ - Test 14,Liking,The flavor is enjoyable. The nuts and seeds are visible. It seems to be cooked properly.,15.31,7,"['flavor', 'enjoyable', 'nut', 'seed', 'visible', 'seem', 'cook', 'properly']"
BBQ - Control (Texas BBQ),Liking,Was a little lacking in flavor,0,6,"['little', 'lack', 'flavor']"
BBQ - Test 13,Liking,I really like the flavor of this one. It has a LOT of flavor and I tend to gravitate towards things with lots of flavor,42.01,8,"['really', 'like', 'flavor', 'one', 'lot', 'flavor', 'tend', 'gravitate', 'towards', 'thing', 'lot', 'flavor']"
BBQ - Test 14,Liking,It doesn't seem to have much flavor... This specific product showed up completely crushed and so it was hard to taste,-57.99,4,"['doesnt', 'seem', 'much', 'flavor', 'specific', 'product', 'show', 'completely', 'crush', 'hard', 'taste']"
BBQ - Control (Texas BBQ),Liking,"Sort of subtle, almost like a Lays BBQ chip, definitely savory, good crunch",77.87,6,"['sort', 'subtle', 'almost', 'like', 'lay\x92s', 'bbq', 'chip', 'definitely', 'savory', 'good', 'crunch']"
BBQ - Test 13,Liking,That there are seeds I can see,0,1,"['seed', 'see']"
BBQ - Test 14,Liking,"Savory, BBQ flavor, crunchy, seeds",0,7,"['savory', 'bbq', 'flavor', 'crunchy', 'seed']"
BBQ - Control (Texas BBQ),Liking,Tastes great,62.49,7,"['taste', 'great']"
BBQ - Test 13,Liking,Great texture,62.49,7,"['great', 'texture']"
BBQ - Test 14,Liking,Tastes great,62.49,7,"['taste', 'great']"
BBQ - Control (Texas BBQ),Liking,I like the peanuts.  I like the crunch and the light barbecue taste.,61.24,8,"['like', 'peanut', 'like', 'crunch', 'light', 'barbecue', 'taste']"
BBQ - Test 13,Liking,I like the crunch.  I like the barbecue flavor and the peanuts.,61.24,8,"['like', 'crunch', 'like', 'barbecue', 'flavor', 'peanut']"
BBQ - Test 14,Liking,I like the crunch.  I like that they are made of peanuts.  I like the barbecue flavor.,75.79,8,"['like', 'crunch', 'like', 'make', 'peanut', 'like', 'barbecue', 'flavor']"
BBQ - Control (Texas BBQ),Liking,In my opinion very similar to 623 but I feel like this one has a bit of spice and not as much smokiness but the flavor is better,79.64,8,"['opinion', 'similar', '623', 'feel', 'like', 'one', 'bit', 'spice', 'much', 'smokiness', 'flavor', 'well']"
BBQ - Test 13,Liking,It the perfect amount of crunch and has a really smokey bbq flavor and I love it,83.6,9,"['perfect', 'amount', 'crunch', 'really', 'smokey', 'bbq', 'flavor', 'love']"
BBQ - Test 14,Liking,"overall only the flavor and not really that, its too minimal that it seems like I'm just eating nuts",5.16,4,"['overall', 'flavor', 'really', 'minimal', 'seem', 'like', 'im', 'eating', 'nut']"
BBQ - Control (Texas BBQ),Liking,Pleasant strong and bold taste. Spicy aftertaste. Crunch level was about right. Savory tasting,84.81,7,"['pleasant', 'strong', 'bold', 'taste', 'spicy', 'aftertaste', 'crunch', 'level', 'right', 'savory', 'taste']"
BBQ - Test 13,Liking,"Savory. Good amount of spice and taste while eating. Pleasant spicy and smoky aftertaste. When eating, you can taste the nuts and high quality ingredients that are well seasoned into a crunch.",71.84,7,"['savory', 'good', 'amount', 'spice', 'taste', 'eat', 'pleasant', 'spicy', 'smoky', 'aftertaste', 'eat', 'taste', 'nut', 'high', 'quality', 'ingredient', 'well', 'season', 'crunch']"
BBQ - Test 14,Liking,"Stronger smoky taste during eating experience. The product also had a pleasant spicy kick aftertaste that is not too strong. The bar tastes wholesome with the nut flavors being noticeable, but not dominant.",27.3,8,"['strong', 'smoky', 'taste', 'eat', 'experience', 'product', 'also', 'pleasant', 'spicy', 'kick', 'aftertaste', 'strong', 'bar', 'taste', 'wholesome', 'nut', 'flavor', 'noticeable', 'dominant']"
BBQ - Control (Texas BBQ),Liking,good crunch,44.04,3,"['good', 'crunch']"
BBQ - Test 13,Liking,"its too salty, dont taste much flavor other than salt",0,2,"['salty', 'dont', 'taste', 'much', 'flavor', 'salt']"
BBQ - Test 14,Liking,its got good crunch,44.04,3,"['get', 'good', 'crunch']"
BBQ - Control (Texas BBQ),Liking,"Like the texture, variety and crunch",36.12,7,"['like', 'texture', 'variety', 'crunch']"
BBQ - Test 13,Liking,"Texture, flavor, variety of ingredients",0,8,"['texture', 'flavor', 'variety', 'ingredient']"
BBQ - Test 14,Liking,"Texture, variety of ingredients, flavor",0,8,"['texture', 'variety', 'ingredient', 'flavor']"
BBQ - Control (Texas BBQ),Liking,I expected the bar to be a combination of sweet and savory however there was only a presence of savory.,45.88,3,"['expect', 'bar', 'combination', 'sweet', 'savory', 'however', 'presence', 'savory']"
BBQ - Test 13,Liking,I like the texture of the bar and that is very crunchy.,36.12,1,"['like', 'texture', 'bar', 'crunchy']"
BBQ - Test 14,Liking,The texture of the bar.,0,4,"['texture', 'bar']"
BBQ - Control (Texas BBQ),Liking,"Textures of seeds and nuts, savory",-31.82,7,"['texture', 'seed', 'nut', 'savory']"
BBQ - Test 13,Liking,"spicy, crunchy, savory flavors",0,8,"['spicy', 'crunchy', 'savory', 'flavor']"
BBQ - Test 14,Liking,"crunchy, spices",0,7,"['crunchy', 'spice']"
BBQ - Control (Texas BBQ),Liking,"Perfect size for a snack, color of the product, and texture. It had a great mouth feel.",83.16,6,"['perfect', 'size', 'snack', 'color', 'product', 'texture', 'great', 'mouth', 'feel']"
BBQ - Test 13,Liking,Perfect amount of crunch and mouth feel. It was crunchy but not too crunchy. I liked how the product was easy to hold and didn't fall apart.,49.43,6,"['perfect', 'amount', 'crunch', 'mouth', 'feel', 'crunchy', 'crunchy', 'like', 'product', 'easy', 'hold', 'didnt', 'fall', 'apart']"
BBQ - Test 14,Liking,The product has a great texture and mouth feel.  The BBQ flavor is almost about right. I think it is still slightly a bit strong especially for a bar.,79.76,6,"['product', 'great', 'texture', 'mouth', 'feel', 'bbq', 'flavor', 'almost', 'right', 'think', 'still', 'slightly', 'bite', 'strong', 'especially', 'bar']"
BBQ - Control (Texas BBQ),Liking,It's crunchy and savory,0,6,"['crunchy', 'savory']"
BBQ - Test 13,Liking,I like the crunch and the bbq flavor that hits after a few seconds.,36.12,8,"['like', 'crunch', 'bbq', 'flavor', 'hit', 'second']"
BBQ - Test 14,Liking,I like the strong bbq flavor that's left as an aftertaste and I like the crunchiness.  It would be a good salty craving snack.,88.07,8,"['like', 'strong', 'bbq', 'flavor', 'thats', 'leave', 'aftertaste', 'like', 'crunchiness', 'would', 'good', 'salty', 'crave', 'snack']"
BBQ - Control (Texas BBQ),Liking,The crunchyness of the product i like and its not has an overly strong bbq flavor.,70.03,5,"['crunchyness', 'product', 'like', 'overly', 'strong', 'bbq', 'flavor']"
BBQ - Test 13,Liking,I like that it is crunchy and i enjoy the texture,69.08,4,"['like', 'crunchy', 'enjoy', 'texture']"
BBQ - Test 14,Liking,I like the crunchyness of the product,36.12,5,"['like', 'crunchyness', 'product']"
BBQ - Control (Texas BBQ),Liking,it's a bit better than previous 2,44.04,3,"['bit', 'well', 'previous', '2']"
BBQ - Test 13,Liking,nothing,0,3,['nothing']
BBQ - Test 14,Liking,nothing,0,2,['nothing']
BBQ - Control (Texas BBQ),Liking,nice well rounded flavor. works well together,71.84,8,"['nice', 'well', 'rounded', 'flavor', 'work', 'well', 'together']"
BBQ - Test 13,Liking,liked the smokey taste. it was different,42.15,7,"['like', 'smokey', 'taste', 'different']"
BBQ - Test 14,Liking,nice smoke flavor. not as much as other one. maybe a little sweeter,42.15,7,"['nice', 'smoke', 'flavor', 'much', 'one', 'maybe', 'little', 'sweeter']"
BBQ - Control (Texas BBQ),Liking,"The flavor is extremely well balanced. It is a satisfying snack that has the right combination of textures as well. Crunchy granola bars are expected to be a little bit crumbly, but this product holds together well and only a little sunflower seed fell off when I took my next bite. This made me feel like I was eating a wholesome bar with more natural ingredients rather than a mystery mash.",92.49,8,"['flavor', 'extremely', 'well', 'balanced', 'satisfy', 'snack', 'right', 'combination', 'texture', 'well', 'crunchy', 'granola', 'bar', 'expect', 'little', 'bit', 'crumbly', 'product', 'hold', 'together', 'well', 'little', 'sunflower', 'seed', 'fell', 'take', 'next', 'bite', 'make', 'feel', 'like', 'eat', 'wholesome', 'bar', 'natural', 'ingredient', 'rather', 'mystery', 'mash']"
BBQ - Test 13,Liking,"It has a balanced, satisfying flavor. It isn't too hard on the teeth to chew and it reminds me of a more substantial barbecue chip. It would be more filling than a bag of chips but offers the same flavor, so would satiate an appetite more effectively.",78.96,7,"['balance', 'satisfy', 'flavor', 'isnt', 'hard', 'teeth', 'chew', 'remind', 'substantial', 'barbecue', 'chip', 'would', 'fill', 'bag', 'chip', 'offer', 'flavor', 'would', 'satiate', 'appetite', 'effectively']"
BBQ - Test 14,Liking,The crunch factor is very satisfying. This product has a good texture and allows for an adequate amount of chewing. It stayed in a bar shaped and you can visually see the composition of nuts.,69.97,4,"['crunch', 'factor', 'satisfy', 'product', 'good', 'texture', 'allow', 'adequate', 'amount', 'chew', 'stay', 'bar', 'shape', 'visually', 'see', 'composition', 'nut']"
BBQ - Control (Texas BBQ),Liking,"While it is crunchy, does seem easier to chew.",42.15,8,"['crunchy', 'seem', 'easy', 'chew']"
BBQ - Test 13,Liking,"I like the BBQ flavor, but there is a weird after-taste that I cannot quite describe.",-7.72,7,"['like', 'bbq', 'flavor', 'weird', 'aftertaste', 'quite', 'describe']"
BBQ - Test 14,Liking,I didn't have a weird after-taste.  I also liked the flavor of the BBQ.,51.36,8,"['didnt', 'weird', 'aftertaste', 'also', 'like', 'flavor', 'bbq']"
BBQ - Control (Texas BBQ),Liking,The same thing as the others. I like the peanut butter taste and the crunchiness.,36.12,4,"['thing', 'others', 'like', 'peanut', 'butter', 'taste', 'crunchiness']"
BBQ - Test 13,Liking,The sunflower seeds.,0,4,"['sunflower', 'seed']"
BBQ - Test 14,Liking,I liked the crunch to it and also some of the peanut butter flavor.,42.15,4,"['like', 'crunch', 'also', 'peanut', 'butter', 'flavor']"
BBQ - Control (Texas BBQ),Liking,This sample was a lot crunchier than the second one I tried which is a lot better already. It also does not leave any after taste.,46.75,7,"['sample', 'lot', 'crunchier', 'second', 'one', 'try', 'lot', 'well', 'already', 'also', 'leave', 'taste']"
BBQ - Test 13,Liking,This product is actually amazing and the flavor profile is definitely there. Im always looking for a healthier alternative to bbq chips or something crunchy with flavor and this hit the spot just right. The aftertaste wasnt as bad as I expected either.,45.88,8,"['product', 'actually', 'amazing', 'flavor', 'profile', 'definitely', 'i\x92m', 'always', 'look', 'healthier', 'alternative', 'bbq', 'chip', 'something', 'crunchy', 'flavor', 'hit', 'spot', 'right', 'aftertaste', 'wasn\x92t', 'bad', 'expect', 'either']"
BBQ - Test 14,Liking,"I really like how it looks however, it looks as if it has too much seasoning if that makes sense.",42.01,7,"['really', 'like', 'look', 'however', 'look', 'much', '\x93seasoning\x94', 'make', 'sense']"
BBQ - Control (Texas BBQ),Liking,i like the flavors i can taste nuts sunflowers and the BBQ all at the same time so like that. that it taste different.,40.19,8,"['like', 'flavor', 'taste', 'nuts', 'sunflower', 'bbq', 'time', 'like', 'taste', 'different']"
BBQ - Test 13,Liking,I like that it taste like smokey BBQ and also because is really crunchy and also because i can taste the peanuts and sunflower,61.24,8,"['like', 'taste', 'like', 'smokey', 'bbq', 'also', 'really', 'crunchy', 'also', 'taste', 'peanut', 'sunflower']"
BBQ - Test 14,Liking,like that it different and i like that it taste like BBq and also like that is crunchy,84.02,8,"['like', 'different', 'like', 'taste', 'like', 'bbq', 'also', 'like', 'crunchy']"
BBQ - Control (Texas BBQ),Liking,I like the look and the crunch. I also enjoy the bbq taste with the peanuts. This is something new and different for me and I see myself always buying this.,69.08,9,"['like', 'look', 'crunch', 'also', 'enjoy', 'bbq', 'taste', 'peanut', 'something', 'new', 'different', 'see', 'always', 'buy']"
BBQ - Test 13,Liking,"I love the crunch, bbq taste. I love that it has sunflower seeds and peanuts giving my tastebuds a different experience.",89.57,9,"['love', 'crunch', 'bbq', 'taste', 'love', 'sunflower', 'seed', 'peanuts', 'give', 'tastebuds', 'different', 'experience']"
BBQ - Test 14,Liking,Love the crunchiness of the bar. I love the bbq taste the peanuts and sunflower seeds,85.55,9,"['love', 'crunchiness', 'bar', 'love', 'bbq', 'taste', 'peanut', 'sunflower', 'seed']"
BBQ - Control (Texas BBQ),Liking,I like the taste of this one.  All flavors and ingredients are just right.,36.12,7,"['like', 'taste', 'one', 'flavor', 'ingredient', 'right']"
BBQ - Test 13,Liking,I do not like anything about it.,-27.55,2,"['like', 'anything']"
BBQ - Test 14,Liking,The bbq taste is not as strong as the other one and it taste pretty good.,52.64,6,"['bbq', 'taste', 'strong', 'one', 'taste', 'pretty', 'good']"
BBQ - Control (Texas BBQ),Liking,the flavor and crunch,0,9,"['flavor', 'crunch']"
BBQ - Test 13,Liking,Its sweet yet savory and i love the crunch,80.2,9,"['sweet', 'yet', 'savory', 'love', 'crunch']"
BBQ - Test 14,Liking,appearance and crunch,0,4,"['appearance', 'crunch']"
BBQ - Control (Texas BBQ),Liking,I like the crunch and that is is unique but it isn't memorable for me.,19.01,5,"['like', 'crunch', 'unique', 'isnt', 'memorable']"
BBQ - Test 13,Liking,"I like the smokiness and the crunch. I like that I can see the ingredients used, too.",61.24,4,"['like', 'smokiness', 'crunch', 'like', 'see', 'ingredient', 'use']"
BBQ - Test 14,Liking,I like the salty/sweet combo. The BBQ flavor is present in a good way as well. Very satisfying.,86.87,7,"['like', 'saltysweet', 'combo', 'bbq', 'flavor', 'present', 'good', 'way', 'well', 'satisfy']"
BBQ - Control (Texas BBQ),Liking,Flavor was pretty good,72.69,5,"['flavor', 'pretty', 'good']"
BBQ - Test 13,Liking,Crunchy with a slight BBQ taste,0,3,"['crunchy', 'slight', 'bbq', 'taste']"
BBQ - Test 14,Liking,"Crunchy, good nutty flavor",44.04,3,"['crunchy', 'good', 'nutty', 'flavor']"
BBQ - Control (Texas BBQ),Liking,I love the savory taste. You taste a hint of barbeque and a very nutty flavor.,63.69,9,"['love', 'savory', 'taste', 'taste', 'hint', 'barbeque', 'nutty', 'flavor']"
BBQ - Test 13,Liking,I love the flavors of barbeque and peanuts. They blend together nicely. It is also not too hard to bite into.,81.24,9,"['love', 'flavor', 'barbeque', 'peanut', 'blend', 'together', 'nicely', 'also', 'hard', 'bite']"
BBQ - Test 14,Liking,I love the barbeque flavor. I love that you can see and taste the peanuts in bar.,85.55,9,"['love', 'barbeque', 'flavor', 'love', 'see', 'taste', 'peanut', 'bar']"
BBQ - Control (Texas BBQ),Liking,"Very crunchy, slightly softer.  Good appearance.  Can see and taste more of the nuts in this one.",1.5,2,"['crunchy', 'slightly', 'softer', 'good', 'appearance', 'see', 'taste', 'nut', 'one']"
BBQ - Test 13,Liking,"Good amount of flavor.  This is my favorite of the 3.  It may be the softest.  No residue on hands.  The flavor is not over-powering like the first one, and has more flavor than the second one.",37.98,8,"['good', 'amount', 'flavor', 'favorite', '3', 'may', 'softest', 'residue', 'hand', 'flavor', 'overpower', 'like', 'first', 'one', 'flavor', 'second', 'one']"
BBQ - Test 14,Liking,"Very crunchy, strong flavor.",55.42,4,"['crunchy', 'strong', 'flavor']"
