product_code,like_compound,liking_free_text_no_punc_tokenized_no_stop_lemm,question
Chobani Original,0,"['mixture', 'fruit', 'piece', 'yogurt', '120', 'calorie']",Liking
Chobani Smooth,0.5859,"['taste', 'like', 'fresh', 'fruit', 'filling']",Liking
Chobani Original,0,"['texture', 'protein', 'content', 'consistency', 'real', 'fruit', 'amount', 'fullness']",Liking
Chobani Smooth,0.1331,"['liked', 'texture', 'smooth', 'creamy', 'like', 'wasnt', 'sweet', 'clean', 'taste', 'artificial', 'unpleasant', 'aftertaste']",Liking
Chobani Original,0.8316,"['think', 'actual', 'yogurt', 'good', 'creamy', 'smooth', 'fill', 'like', 'expect', 'greek', 'yogurt', 'package', 'eye', 'pleasing']",Liking
Chobani Smooth,0.6124,"['smooth', 'creamy', 'less', 'sugar', 'high', 'protein', 'regular', 'yogurt', 'however', 'still', 'opt', 'greek', 'yogurt', 'bit', 'high', 'protein', 'like', 'nongmo', 'price', 'reasonable', 'like', 'fruit', 'blend']",Liking
Chobani Original,0.4404,"['thick', 'creamy', 'real', 'strawberry', 'give', 'good', 'flavor', 'plus', 'chunks', 'berry', '5', 'gram', 'live', 'culture', '12', 'g', 'protein']",Liking
Chobani Smooth,-0.296,"['color', 'consistency', 'big', 'chunk', 'fruit']",Liking
Chobani Original,0.9422,"['lovely', 'thickness', 'product', 'really', 'liked', 'consistency', 'weight', 'felt', 'like', 'substantial', 'treat', 'fruit', 'flavor', 'add', 'pops', 'interest']",Liking
Chobani Smooth,0,"['texture', 'flavor', 'fruit', 'bottom']",Liking
Chobani Original,0.3612,"['like', 'creamy', 'big', 'piece', 'fruit']",Liking
Chobani Smooth,0.8074,"['smooth', 'creamy', 'right', 'amount', 'sweetness', 'overall', 'great', 'flavor']",Liking
Chobani Original,0,['creamy'],Liking
Chobani Smooth,0.6588,"['taste', 'great']",Liking
Chobani Original,0.7003,"['piece', 'fruit', 'perfect', 'size', 'big', 'blend', 'well', 'yogurt']",Liking
Chobani Smooth,0,"['creaminess', 'little', 'tang']",Liking
Chobani Original,0.4404,"['nongmo', 'live', 'culture', 'robiotics', 'good', 'digestion', 'health', 'make', 'wreal', 'fruit', 'cane', 'sugar', 'taste', 'texture']",Liking
Chobani Smooth,0,"['texture', 'flavor']",Liking
Chobani Original,0.7159,"['taste', 'creaminess', 'good', 'like', 'little', 'chunk', 'strawberry', 'could', 'really', 'tell', 'berry', 'yogurt']",Liking
Chobani Smooth,-0.4973,"['creamy', 'flavorful', 'edge', 'sweet', 'fruity', 'smell', 'taste', 'bit', 'tangy', 'affordable']",Liking
Chobani Original,0.6249,"['thickness', 'great', 'fruit', 'flavor']",Liking
Chobani Smooth,0.3612,"['like', 'packaging']",Liking
Chobani Original,0.4404,"['good', 'flavor', 'smooth']",Liking
Chobani Smooth,0.9081,"['like', 'overall', 'strawberry', 'flavor', 'already', 'mixed', 'versus', 'fruit', 'bottom', 'stir', 'also', 'like', 'smooth', 'creamy', 'light', 'flavorful', 'filling', 'would', 'make', 'great', 'addition', 'meal', 'healthy', 'snack']",Liking
Chobani Original,0,"['amount', 'protein', 'lot', 'flavor']",Liking
Chobani Smooth,0.4767,"['like', 'flavor', 'taste', 'texture', 'nice', 'smooth']",Liking
Chobani Original,0.6597,"['good', 'flavor', 'like', 'fruit', 'chunk']",Liking
Chobani Smooth,0.4404,"['texture', 'color', 'look', 'good']",Liking
Chobani Original,0.4404,"['flavor', 'good']",Liking
Chobani Smooth,0.765,"['strawberry', 'flavor', 'good', 'also', 'tangyness', 'greek', 'yogurt', 'perfect']",Liking
Chobani Original,0.7783,"['taste', 'like', 'actual', 'strawberry', 'unnaturally', 'pink', 'sweet', 'enough', 'yogurt', 'easy', 'get', 'there', 'lip', 'container', 'scoop']",Liking
Chobani Smooth,-0.3353,"['smooth', 'low', 'fat', 'small', 'chunk', 'strawberry']",Liking
Chobani Original,-0.357,"['thick', 'creamy', 'sweet', 'slight', 'tang', 'fruit', 'bottom', 'piece', 'fruit', 'container', 'big', 'enough', 'mix', 'fruit', 'yoghurt']",Liking
Chobani Smooth,0.8906,"['liked', 'texture', 'smooth', 'chunk', 'also', 'like', 'color', 'product', 'coloring', 'seem', 'natural', 'price', 'product', 'good']",Liking
Chobani Original,0,"['texture', 'yogurt']",Liking
Chobani Smooth,0.4939,"['smooth', 'creamy', 'texture', 'flavor', 'sweet', 'sweet', 'overpowering']",Liking
Chobani Original,0.4404,"['thick', 'creamy', 'good', 'flavor']",Liking
Chobani Smooth,0,"['smooth', 'tasty']",Liking
Chobani Original,0.2732,"['thick', 'creamy', 'texture', 'pleasant', 'flavor', 'taste']",Liking
Chobani Smooth,0.8151,"['smooth', 'creamy', 'lowfat', 'usually', 'funny', 'taste', 'product', 'packaging', 'appeal', 'like', 'word', 'smooth', 'highlight', 'like', 'cost', '2', '175']",Liking
Chobani Original,0.4939,"['flavor', 'yogurt', 'something', 'enjoy', 'texture', 'yogurt', 'smooth']",Liking
Chobani Smooth,0.4442,"['good', 'flavor', 'sweet', 'smooth', 'texture', 'like', 'state', 'package', 'often', 'nongreek', 'yogurt', 'taste', 'sugary', 'one']",Liking
Chobani Original,0.4215,"['like', 'flavor', 'yougart', 'mix', 'stuff', 'packaging', 'product']",Liking
Chobani Smooth,0,['smooth'],Liking
Chobani Original,0,"['chunk', 'strawberry']",Liking
Chobani Smooth,0,"['creamy', 'chunk', 'real', 'fruit', '11', 'gram', 'protein']",Liking
Chobani Original,0.4404,"['flavor', 'good', 'texture', 'creamy']",Liking
Chobani Smooth,0.6533,"['really', 'taste', 'like', 'fresh', 'strawberry', 'lot', 'piece', 'fruit', 'chalky']",Liking
Chobani Original,0.7579,"['strawberry', 'flavor', 'perfect', 'like', 'thick', 'consistency']",Liking
Chobani Smooth,0.8176,"['love', 'strong', 'taste', 'flavor']",Liking
Chobani Original,0.6369,"['love', 'texture', 'flavor', 'yogurt']",Liking
Chobani Smooth,0.4404,"['creamy', 'texture', 'good', 'portion', 'size']",Liking
Chobani Original,0.4927,"['taste', 'really', 'good', 'heavy', 'strawberry', 'taste', 'enough']",Liking
Chobani Smooth,0.34,"['smooth', 'creamy', 'easily', 'blend', 'able', 'mixing', 'fruit', 'yogurt', 'part']",Liking
Chobani Original,0.4939,"['enjoy', 'fruit', 'bottom', 'overall', 'taste', 'creamy', 'smooth']",Liking
Chobani Smooth,0,"['strawberry', 'flavor', 'deep', 'ii', 'also', 'texture', 'thick', 'thick']",Liking
Chobani Original,0.7003,"['good', 'flavor', 'good', 'texture', 'yogurt']",Liking
Chobani Smooth,0.796,"['like', 'taste', 'smooth', 'creamy', 'taste', 'really', 'nice', 'also', 'like', 'thicknessdensity']",Liking
Chobani Original,0.6705,"['like', 'strawberry', 'flavor', 'right', 'amount', 'sweet', 'flavor', 'creamy']",Liking
Chobani Smooth,0.6597,"['natural', 'good', 'flavor', 'smooth', 'creamy']",Liking
Chobani Original,0,['taste'],Liking
Chobani Smooth,0.7506,"['flavor', 'pretty', 'good', 'like', 'high', 'protein', 'lower', 'fat', 'sugar', 'regular', 'greek', 'yogurt']",Liking
Chobani Original,0.4404,"['yogurt', 'thick', 'fruit', 'flavor', 'good']",Liking
Chobani Smooth,0.7783,"['like', 'creamy', 'taste', 'consistent', 'throughout', 'product', 'like', 'wasnt', 'spot', 'taste', 'like', 'bland', 'yogurt']",Liking
Chobani Original,0.7264,"['like', 'strawberry', 'flavor', 'sweet', 'tartcreamy']",Liking
Chobani Smooth,0,"['thickness', 'yogurt', 'taste']",Liking
Chobani Original,-0.4215,"['good', 'flavor', 'creamy', 'aftertaste', 'bad']",Liking
Chobani Smooth,0.4404,"['creamy', 'texture', 'good', 'tast']",Liking
Chobani Original,0.7845,"['smooth', 'taste', 'like', 'natural', 'strawberry', 'flavor', 'also', 'good', 'aftertaste']",Liking
Chobani Smooth,0.4215,"['liked', 'thickness', 'flavor']",Liking
Chobani Original,0.1695,"['didnt', 'leave', 'weird', 'taste', 'mouth', 'wasnt', 'tart']",Liking
Chobani Smooth,0.9203,"['smooth', 'texture', 'powdery', 'clumpy', 'like', 'natural', 'color', 'like', 'isnt', 'fruit', 'bottom', 'fruit', 'piece', 'dont', 'mix', 'eat', 'iti', 'eat', 'sweet', 'ideal', 'strawberry', 'flavor', 'thick', 'feel', 'like', 'im', 'eat', 'greek', 'yogurt', 'price', 'good', 'deal']",Liking
Chobani Smooth,0,['creamy'],Liking
Chobani Smooth,0.3612,"['like', 'flavor', 'smoothness']",Liking
Chobani Smooth,0.6444,"['package', 'appeal', 'taste', 'pretty', 'good', 'low', 'fat']",Liking
Chobani Smooth,0,"['wide', 'container', 'cup', 'design', 'real', 'fruit', 'piece', 'texture', '25', 'less', 'sugar', '2x', 'protein', 'advertise', 'product', 'chobani', 'smooth', 'lowfat', 'classic', 'yogurt', 'description']",Liking
Chobani Smooth,0,"['creamy', 'texture', 'strawberry', 'flavor']",Liking
Chobani Smooth,0,"['flavor', 'consistancy']",Liking
Chobani Smooth,0,"['creamy', 'smooth']",Liking
Chobani Smooth,0,"['creaminess', 'yogurt']",Liking
Chobani Smooth,0.4215,"['nice', 'smooth', 'thick', 'texture']",Liking
Chobani Smooth,0,"['smooth', 'creamy']",Liking
Chobani Smooth,0.7906,"['great', 'flavor', 'smooth', 'easy', 'eat']",Liking
Chobani Smooth,0.7964,"['liked', 'shape', 'bowlcontainer', 'easy', 'eat', 'felt', 'like', 'yogurt', 'yoplait', 'usually']",Liking
Chobani Smooth,0,"['right', 'amount', 'strawberry', 'flavor']",Liking
Chobani Smooth,0.6597,"['perfect', 'size', 'snack', 'also', 'easy', 'use', 'container', 'child', 'refill', 'little', 'one', 'spill']",Liking
Chobani Smooth,-0.357,"['wasnt', 'overly', 'sweet', 'light', 'texture']",Liking
Chobani Smooth,0.8148,"['smooth', 'great', 'taste', 'love', 'tartness', 'little', 'subtle', 'definitely']",Liking
Chobani Smooth,0,['flavor'],Liking
Chobani Smooth,0,"['texture', 'taste']",Liking
Chobani Smooth,0,"['creamy', 'texture']",Liking
Chobani Smooth,0.4404,"['smooth', 'texture', 'good']",Liking
Chobani Smooth,0,"['taste', 'smoothness']",Liking
Chobani Smooth,0.4404,"['texture', 'smooth', 'flavorful', 'strawberry', 'good']",Liking
Chobani Smooth,0.4404,"['good', 'taste', 'smooth', 'consistency', 'tart']",Liking
Chobani Smooth,0.8225,"['taste', 'pretty', 'good', 'like', 'strawberry']",Liking
Chobani Smooth,0.4404,"['smooth', 'texture', 'good', 'strawberry', 'taste']",Liking
Chobani Smooth,0.4404,"['smooth', 'creamy', 'good', 'strawberry', 'flavor']",Liking
Chobani Smooth,0.1901,"['taste', 'like', 'greek', 'yogurt', 'wasnt', 'wasnt', 'quite', 'thick', 'greek', 'yogurt']",Liking
Chobani Smooth,0,"['lot', 'strawberry', 'flavor', 'tart']",Liking
Chobani Smooth,0.4404,"['good', 'taste', 'bland']",Liking
Chobani Smooth,0,['creaminess'],Liking
Chobani Smooth,0,['name'],Liking
Chobani Smooth,0,"['creamy', 'texture']",Liking
Chobani Smooth,0,"['texture', 'taste']",Liking
Chobani Smooth,0,"['creamylots', 'fruit']",Liking
Chobani Smooth,0.3612,"['mostly', 'smooth', 'get', '2', 'small', 'chunk', 'like', '11', 'gm', 'protein', 'lowfat']",Liking
Chobani Smooth,0,['lumpy'],Liking
Chobani Smooth,0.6249,"['product', 'creamy', 'great', 'color']",Liking
Chobani Smooth,0,['creamy'],Liking
Chobani Smooth,0.4404,"['good', 'strawberry', 'flavor']",Liking
Chobani Smooth,0.4201,"['really', 'like', 'smooth', 'creamy']",Liking
Chobani Smooth,0,"['smell', 'color']",Liking
Chobani Smooth,0.1811,"['think', 'taste', 'good', 'sweet']",Liking
Chobani Smooth,0.6486,"['nice', 'flavor', 'like', 'smooth', 'texture', 'creamy']",Liking
Chobani Smooth,0,['tasty'],Liking
Chobani Smooth,0.7003,"['attractive', 'packaging', 'easy', 'open', 'container']",Liking
Chobani Smooth,0.4215,"['like', 'creamy', 'smoothnessthick', 'without', 'pasty']",Liking
Chobani Smooth,0,"['smoothness', 'texture']",Liking
Chobani Smooth,0.1078,"['good', 'fruit', 'flavor', 'wasnt', 'overly', 'sweet']",Liking
Chobani Smooth,0.4703,"['texture', 'creamy', 'nice', 'strawberry', 'flavor']",Liking
Chobani Smooth,-0.1531,"['great', 'taste', 'chunk', 'strawberry', 'smooth', 'texture', 'bad', 'taste']",Liking
Chobani Smooth,0.4215,"['like', 'strawberry', 'flavor', 'little', 'tiny', 'chunk', 'strawberry']",Liking
Chobani Smooth,0.4404,"['good', 'amount', 'strawberry', 'flavor', 'creamy', 'smooth']",Liking
Chobani Smooth,0,"['creaminess', 'smoothness']",Liking
Chobani Original,0,"['thought', 'would', 'big', 'chunk', 'fruit', 'since', 'say', 'fruit', 'bottom', 'mainly', 'juice', 'small', 'piece', 'fruit', 'bottom']",Meets Expectation
Chobani Smooth,0,['none'],Meets Expectation
Chobani Original,0.3612,"['think', 'packaging', 'show', 'everything', 'yogurt', 'encompasses', 'like', 'letter', 'tell', 'fruit', 'bottom']",Meets Expectation
Chobani Smooth,-0.071,"['say', 'low', 'fat', 'didnt', 'taste', 'like', 'low', 'fat', 'impress', 'taste']",Meets Expectation
Chobani Original,0.3612,"['120', 'calorie', 'nonfat', 'yogurt', 'seem', 'like', 'lot', 'word', 'small', 'container', 'couldnt', 'read', 'itunder', 'picture', 'say', 'keep', 'real']",Meets Expectation
Chobani Smooth,-0.4404,"['content', 'label', 'difficult', 'read', 'hard', 'find']",Meets Expectation
Chobani Original,0.6969,"['average', 'price', 'higher', 'expect', '020', 'packaging', 'isnt', 'much', 'different', 'regular', 'chobani', 'yogurt', 'maybe', 'help', 'stand', 'product', 'fruit', 'bottom', 'would', 'helpful']",Meets Expectation
Chobani Smooth,0.5023,"['package', 'say', 'regular', 'yogurt', 'taste', 'like', 'greek', 'yogurt']",Meets Expectation
Chobani Original,0,"['try', 'communicate', 'yogurt', 'greek', 'style', 'creamy']",Meets Expectation
Chobani Smooth,0.7684,"['say', 'real', 'fruit', 'find', 'none', 'unexpected', 'less', 'sugar', 'much', 'sweetness', 'im', 'also', 'surprise', 'protein']",Meets Expectation
Chobani Original,0,['nan'],Meets Expectation
Chobani Smooth,-0.1027,"['waterythere', 'much', 'label', 'make', 'hard', 'really', 'see', 'make', 'different', 'yogurt', 'shelf']",Meets Expectation
Chobani Original,0,['nothing'],Meets Expectation
Chobani Smooth,0.4692,"['fruit', 'bite', 'unexpected', 'since', 'information', 'side', 'container', 'easy', 'see', 'think', 'fruit', 'bite', 'front', 'container', 'side', 'easily', 'visible', 'would', 'nice', 'nutrition', 'fact', 'container']",Meets Expectation
Chobani Original,0,['protein'],Meets Expectation
Chobani Smooth,0.6222,"['usually', 'eat', 'greek', 'yogurt', 'surprise', 'similar', 'protein', 'package', 'good', 'job', 'describe', 'product']",Meets Expectation
Chobani Original,0.3818,"['healthful', 'benefit', 'greek', 'yogurt', 'calorie']",Meets Expectation
Chobani Smooth,0.75,"['surprise', 'nowhere', 'package', 'say', 'stir', 'consume', 'get', 'best', 'experience']",Meets Expectation
Chobani Original,0,"['nothing', 'unexpected']",Meets Expectation
Chobani Smooth,0,['nan'],Meets Expectation
Chobani Original,0,"['dont', 'think', 'need', 'say', '0', 'milkfat', 'non', 'fat', 'yogurt', 'front', 'packaging', 'thing']",Meets Expectation
Chobani Smooth,0,"['say', 'full', 'real', 'fruit', 'expect', 'fruit', 'chunk']",Meets Expectation
Chobani Original,-0.2222,"['nothing', 'straight', 'forward']",Meets Expectation
Chobani Smooth,0.2263,"['surprised', 'wasnt', 'ingredient', 'list', 'nutrition', 'label', 'actual', 'cup', 'yogurt']",Meets Expectation
Chobani Original,0.6124,"['part', 'almost', 'gelatin', 'taste', 'enough', 'flavor', 'restate', 'non', 'fat0', 'milk', 'fat', 'make', 'real', 'fruit', 'felt', 'like', 'convey', 'high', 'quantity', 'fruit', 'contain', 'preserve', 'make', 'sound', 'like', 'something', 'artificial', 'preserve', 'eat']",Meets Expectation
Chobani Smooth,0.8429,"['expect', 'thinness', 'yogurt', 'taste', 'sweet', 'would', 'like', 'nutritional', 'value', 'label', 'package', 'include', 'calorie', 'count']",Meets Expectation
Chobani Original,0.2551,"['little', 'sournot', 'sure', 'would', 'communicate', 'package']",Meets Expectation
Chobani Smooth,0.0918,"['change', 'packaging', 'although', 'didnt', 'know', 'chobani', 'make', 'nongreek', 'yogurt', 'see', 'packaging', 'say', 'classic', 'initially', 'missed', 'sure', 'would', 'recommend', 'change', 'increase', 'awareness']",Meets Expectation
Chobani Original,0,"['nothing', 'really', 'expect']",Meets Expectation
Chobani Smooth,0.659,"['nothing', 'package', 'clear', 'say', 'would', 'like', 'thicker', 'prefer', 'yougurts', 'thin', 'texure', 'even', 'greek']",Meets Expectation
Chobani Original,0.8519,"['yogurt', 'know', 'expect', 'pay', 'closer', 'attention', 'time', 'taste', 'even', 'well', 'strong', 'strawberry', 'flavor']",Meets Expectation
Chobani Smooth,0.3612,"['would', 'like', 'nutrition', 'information', 'container']",Meets Expectation
Chobani Original,-0.3415,"['amount', 'fruit', 'bottom', 'little', 'misleading', 'need', 'fruit']",Meets Expectation
Chobani Smooth,0,"['expect', 'fruit', 'chunk', 'suppose', 'smooth']",Meets Expectation
Chobani Original,0,"['word', 'greek', 'biggerbolder', 'stand', 'picture', 'strawberry', 'small']",Meets Expectation
Chobani Smooth,0.4215,"['much', 'strawberry', 'flavor', 'intention', 'maybe', 'describe', 'strawberry', 'kiss', 'something']",Meets Expectation
Chobani Original,0.1326,"['thing', 'find', 'confuse', 'outside', 'package', 'label', 'state', 'strawberry', 'bottom', 'give', 'impression', 'yogurt', 'would', 'sit', 'strawberry', 'consumer', 'would', 'mix', 'together', 'however', 'open', 'yogurt', 'without', 'shake', 'yogurt', 'strawberry', 'already', 'mixed', 'together', 'salmon', 'color', 'therefore', 'aspect', 'product', 'misguiding']",Meets Expectation
Chobani Smooth,-0.1282,"['surprised', 'yogurt', 'wasnt', 'greek', 'yogurt', 'packaging', 'wasnt', 'totally', 'clear', 'associate', 'chobani', 'greek', 'yogurt']",Meets Expectation
Chobani Original,0,"['nothing', 'unexpected', 'yogurt', 'commonly', 'buy']",Meets Expectation
Chobani Smooth,0.0772,"['surprised', 'amount', 'creaminess', 'also', 'limit', 'number', 'chunk', 'fruit']",Meets Expectation
Chobani Original,0.4404,"['nothing', 'information', 'need', 'information', 'easy', 'find']",Meets Expectation
Chobani Smooth,0.6249,"['current', 'package', 'great', 'job', 'convey', 'message', 'yogurt', 'type']",Meets Expectation
Chobani Original,0.1045,"['buy', 'usually', 'get', 'chobani', 'already', 'blend', 'change', 'study', 'like', 'flavor', 'yogurt', 'fruit', 'bottom', 'wasnt', 'chunky', 'expect', 'chunky', 'fruit', 'really', 'cut', 'tartness', 'much', 'plain', 'greek', 'yogurt', 'overall', 'tastier', 'expect']",Meets Expectation
Chobani Smooth,0.63,"['smooth', 'label', 'make', 'think', 'consistency', 'would', 'bite', 'thicker', 'creamy', 'still', 'good']",Meets Expectation
Chobani Original,0,['nan'],Meets Expectation
Chobani Smooth,0,"['yogurt', 'smoother', 'creamier', 'expect', 'packaging', 'represent', 'product']",Meets Expectation
Chobani Original,0,"['nothing', 'think', 'package', 'suit', 'product']",Meets Expectation
Chobani Smooth,0,"['thought', 'would', 'piece', 'fruit', 'thereeven', 'though', 'say', 'smootheit', 'much', 'fruit', 'taste', 'think', 'would', 'change', 'package', 'say', 'flavor', 'fruit']",Meets Expectation
Chobani Original,0,['nothing'],Meets Expectation
Chobani Smooth,0,['nothing'],Meets Expectation
Chobani Original,0.7003,"['emphasize', 'nonfat', 'profit', 'well', 'world']",Meets Expectation
Chobani Smooth,0.0498,"['package', 'say', 'pure', 'milk', 'real', 'fruit', 'expect', 'fruit', 'piece', 'usually', 'consider', 'blended', 'mean', 'fruit', 'piece', 'even', 'though', 'one', 'say', 'smooth', 'thought', 'would', 'bits', 'real', 'fruit', 'mention', 'package', 'otherwise', 'thought', 'package', 'describe', 'yogurt', 'well']",Meets Expectation
Chobani Original,-0.0516,"['large', 'freshlooking', 'strawberry', 'package', 'bit', 'misleading', 'look', 'like', 'youre', 'go', 'experience', 'fresher', 'fruit', 'jam', 'actually']",Meets Expectation
Chobani Smooth,0.631,"['nothing', 'unexpected', 'think', 'wise', 'classic', 'underline', 'first', 'glance', 'think', 'greek', 'yogurtbut', 'assume', 'food', 'aisle', 'may', 'differentiate', 'location', 'would', 'understand']",Meets Expectation
Chobani Original,0,['nothing'],Meets Expectation
Chobani Smooth,-0.296,"['big', 'chunk', 'fruit', 'unexpected', 'packaging', 'say', 'nongreek', 'chobani', 'associate', 'greek', 'style', 'yogurt']",Meets Expectation
Chobani Original,0.8067,"['consistency', 'smooth', 'even', 'yogurt', 'substantial', 'please', 'im', 'go', 'consume', 'something', 'represent', '5', '10', 'daily', 'caloric', 'intake', 'would', 'like', 'feel', 'substantialfilling']",Meets Expectation
Chobani Smooth,-0.296,"['calorie', 'nutrition', 'information', 'package', 'look', 'right', 'away']",Meets Expectation
Chobani Original,0,"['long', 'take', 'mix', 'fruit']",Meets Expectation
Chobani Smooth,0.4404,"['well', 'flavor', 'thought', 'would']",Meets Expectation
