product,response value,response,sentiment compound,lemm,question
Chobani Original,4,"It's a healthy, packaged option for getting protein. It's sweet, but not terribly sugary tasting. The design of the package is easy to hold.",89.06,"['healthy', 'package', 'option', 'get', 'protein', 'sweet', 'terribly', 'sugary', 'taste', 'design', 'package', 'easy', 'hold']",Liking
Chobani Smooth,7,Smooth and creamy texture. Good flavor.,44.04,"['smooth', 'creamy', 'texture', 'good', 'flavor']",Liking
Chobani Original,8,Creamy  Smooth  Filling  Ample chunks of strawberry  Real fruit  No after taste  Low in caleries  12 G protein,-51.06,"['creamy', 'smooth', 'filling', 'ample', 'chunk', 'strawberry', 'real', 'fruit', 'taste', 'low', 'caleries', '12', 'g', 'protein']",Liking
Chobani Smooth,8,"I like the flavor of the yogurt, and it has a nice strawberry taste. It was creamy and smooth.",64.86,"['like', 'flavor', 'yogurt', 'nice', 'strawberry', 'taste', 'creamy', 'smooth']",Liking
Chobani Original,8,Thick creamy consistency and strong flavor,51.06,"['thick', 'creamy', 'consistency', 'strong', 'flavor']",Liking
Chobani Smooth,8,The creaminess and the smoothness.,0,"['creaminess', 'smoothness']",Liking
Chobani Original,9,"Very satisfying, smooth, creamy",50.95,"['satisfy', 'smooth', 'creamy']",Liking
Chobani Smooth,9,"The yogurt is very creamy, the strawberry taste is not tart but very sweet and very present in the product, the chunks of fruit are nice and just the right amount.",84.58,"['yogurt', 'creamy', 'strawberry', 'taste', 'tart', 'sweet', 'present', 'product', 'chunk', 'fruit', 'nice', 'right', 'amount']",Liking
Chobani Original,7,The packaging is nice and it clearly states what is inside: greek yogurt with strawberry on the bottom,67.05,"['packaging', 'nice', 'clearly', 'state', 'inside', 'greek', 'yogurt', 'strawberry', 'bottom']",Liking
Chobani Smooth,7,level of sweetness - not too sugary,49.39,"['level', 'sweetness', 'sugary']",Liking
Chobani Original,8,"Creamy, nice strawberry flavor, not too sweet",8.23,"['creamy', 'nice', 'strawberry', 'flavor', 'sweet']",Liking
Chobani Smooth,3,I liked that the yogurt had more protein than regular yogurt.,42.15,"['like', 'yogurt', 'protein', 'regular', 'yogurt']",Liking
Chobani Original,7,Not sweet. Small globs made seem rich/creamy/thick (like cottage cheese).,-35.7,"['sweet', 'small', 'glob', 'make', 'seem', 'richcreamythick', 'like', 'cottage', 'cheese']",Liking
Chobani Smooth,7,Thin-ness of yogurt. Smoothness.,0,"['thinness', 'yogurt', 'smoothness']",Liking
Chobani Original,7,The strawberry flavor and the fruit pieces.,0,"['strawberry', 'flavor', 'fruit', 'piece']",Liking
Chobani Smooth,7,Creamy and rich,55.74,"['creamy', 'rich']",Liking
Chobani Original,8,"creamy texture, strawberry flavor good",44.04,"['creamy', 'texture', 'strawberry', 'flavor', 'good']",Liking
Chobani Smooth,7,The extra creamy consistency,0,"['extra', 'creamy', 'consistency']",Liking
Chobani Original,8,"I like the thickness, taste, texture, strawberry chunks and not just strawberry flavor. I like that it has a lot of protein and only 100 calories. I also like that it is a natural color and not artificially dyed.",84.02,"['like', 'thickness', 'taste', 'texture', 'strawberry', 'chunk', 'strawberry', 'flavor', 'like', 'lot', 'protein', '100', 'calorie', 'also', 'like', 'natural', 'color', 'artificially', 'dye']",Liking
Chobani Smooth,7,"Price, less sugar, more protein, strawberry flavor. I would have wanted to eat another one right after this because the flavor was good.",44.04,"['price', 'le', 'sugar', 'protein', 'strawberry', 'flavor', 'would', 'want', 'eat', 'another', 'one', 'right', 'flavor', 'good']",Liking
Chobani Original,8,Very Smooth and Creamy texture.,0,"['smooth', 'creamy', 'texture']",Liking
Chobani Smooth,7,I like the smooth texture and even flavors throughout,36.12,"['like', 'smooth', 'texture', 'even', 'flavor', 'throughout']",Liking
Chobani Original,4,I really liked the thickness of it - it felt heavy (solid),47.54,"['really', 'liked', 'thickness', 'felt', 'heavy', 'solid']",Liking
Chobani Smooth,7,"Smoothness, the right amount of sweetness",49.39,"['smoothness', 'right', 'amount', 'sweetness']",Liking
Chobani Original,8,"The nutrition label was one of the top reasons I liked this yogurt. I love that it is fat free!     Looking at the first page, I thought there were a variety of appealing flavors to choose from.    Taste: The texture was pretty good, but it could have been smoother. I stirred mine quite a bit and still had some small chunks of yogurt. However, I really liked the size and taste of the strawberries!",92.44,"['nutrition', 'label', 'one', 'top', 'reason', 'like', 'yogurt', 'love', 'fat', 'free', 'look', 'first', 'page', 'think', 'variety', 'appeal', 'flavor', 'choose', 'taste', 'texture', 'pretty', 'good', 'could', 'smoother', 'stir', 'mine', 'quite', 'bit', 'still', 'small', 'chunk', 'yogurt', 'however', 'really', 'liked', 'size', 'taste', 'strawberry']",Liking
Chobani Smooth,8,I liked the strawberry flavor and the fruit pieces.It was smooth and had a nice taste.,68.08,"['like', 'strawberry', 'flavor', 'fruit', 'piecesit', 'smooth', 'nice', 'taste']",Liking
Chobani Original,9,I like the thickness of the yogurt and the taste of the Greek yogurt.  It was not sour or too sweet.  There was a good balance of strawberry to yogurt and I liked finding a chunk of strawberry.  I like the packaging because it is unique and easy to find in the yogurt section of a store.,93.93,"['like', 'thickness', 'yogurt', 'taste', 'greek', 'yogurt', 'sour', 'sweet', 'good', 'balance', 'strawberry', 'yogurt', 'like', 'find', 'chunk', 'strawberry', 'like', 'package', 'unique', 'easy', 'find', 'yogurt', 'section', 'store']",Liking
Chobani Smooth,6,"I liked the creaminess of the product. I also liked the nice, subtle flavor.",81.26,"['liked', 'creaminess', 'product', 'also', 'like', 'nice', 'subtle', 'flavor']",Liking
Chobani Original,8,"Thick, creamy consistency - the thickness makes it seem more like a dessert!  Natural ingredients, good strawberry flavor, no growth hormones.",84.61,"['thick', 'creamy', 'consistency', 'thickness', 'make', 'seem', 'like', 'dessert', 'natural', 'ingredient', 'good', 'strawberry', 'flavor', 'growth', 'hormone']",Liking
Chobani Smooth,9,"I love the  smooth  texture and the overall taste.  The texture feels like as it was extremely whipped (like whipping cream) and provides a different type of texture than traditional yogurt.  In my opinion, typical yogurt, is not as whipped as this version of yogurt.  Typical yogurt tends to be more separated than whipped.",77.17,"['love', 'smooth', 'texture', 'overall', 'taste', 'texture', 'feel', 'like', 'extremely', 'whip', 'like', 'whip', 'cream', 'provide', 'different', 'type', 'texture', 'traditional', 'yogurt', 'opinion', 'typical', 'yogurt', 'whip', 'version', 'yogurt', 'typical', 'yogurt', 'tend', 'separate', 'whip']",Liking
Chobani Original,7,"I liked the strawberry taste. I thought it had a good amount of sweetness, but not too sweet.It had a good amount of tartness too. I liked that it had a good amount of protein. I liked the serving size. It was a perfect amount for a snack.",97.79,"['like', 'strawberry', 'taste', 'think', 'good', 'amount', 'sweetness', 'sweetit', 'good', 'amount', 'tartness', 'like', 'good', 'amount', 'protein', 'like', 'serve', 'size', 'perfect', 'amount', 'snack']",Liking
Chobani Smooth,8,"Tastes great, sweet, smooth",79.64,"['taste', 'great', 'sweet', 'smooth']",Liking
Chobani Original,8,"Product was not too sweet, has a thicker taste (but not too thick) and has good flavor. Overall, it's something I would eat.",10.78,"['product', 'sweet', 'thicker', 'taste', 'thick', 'good', 'flavor', 'overall', 'something', 'would', 'eat']",Liking
Chobani Smooth,8,"I like the smooth and creamy texture and awesome taste, which was not too sweet.",62.73,"['like', 'smooth', 'creamy', 'texture', 'awesome', 'taste', 'sweet']",Liking
Chobani Original,8,LOTS OF FRUIT IN THE CUP. GOOD FLAVOR. VERY FILLING,44.04,"['lot', 'fruit', 'cup', 'good', 'flavor', 'filling']",Liking
Chobani Smooth,6,Creamy,0,['creamy'],Liking
Chobani Original,8,Mixture of fruit pieces with yogurt.  Only 120 calories.,0,"['mixture', 'fruit', 'piece', 'yogurt', '120', 'calorie']",Liking
Chobani Smooth,9,It tasted like fresh fruit and was very filling.,58.59,"['taste', 'like', 'fresh', 'fruit', 'filling']",Liking
Chobani Original,9,Texture  Protein content  Consistency  Real fruit  Amount  Fullness,0,"['texture', 'protein', 'content', 'consistency', 'real', 'fruit', 'amount', 'fullness']",Liking
Chobani Smooth,8,I liked the texture.  It was very smooth and creamy.  I liked that it wasn't too sweet.  It had a  clean  taste with no artificial or unpleasant aftertaste.,13.31,"['liked', 'texture', 'smooth', 'creamy', 'like', 'wasnt', 'sweet', 'clean', 'taste', 'artificial', 'unpleasant', 'aftertaste']",Liking
Chobani Original,7,"I thought the actual yogurt was good, creamy, smooth and filling like I expect of greek yogurts. The packaging is eye pleasing.",83.16,"['think', 'actual', 'yogurt', 'good', 'creamy', 'smooth', 'fill', 'like', 'expect', 'greek', 'yogurt', 'package', 'eye', 'pleasing']",Liking
Chobani Smooth,7,"That it is smooth and creamy, has less sugar, is higher in protein than other regular yogurts. However, I my still opt for Greek yogurts that have a bit higher protein.  I like that it is non-GMO. The price is reasonable. I like that the fruit was blended in.",61.24,"['smooth', 'creamy', 'less', 'sugar', 'high', 'protein', 'regular', 'yogurt', 'however', 'still', 'opt', 'greek', 'yogurt', 'bit', 'high', 'protein', 'like', 'nongmo', 'price', 'reasonable', 'like', 'fruit', 'blend']",Liking
Chobani Original,8,"Thick and creamy  real strawberries gave it a good flavor, plus chunks of berries  5 grams of live cultures,  12 g. protein",44.04,"['thick', 'creamy', 'real', 'strawberry', 'give', 'good', 'flavor', 'plus', 'chunks', 'berry', '5', 'gram', 'live', 'culture', '12', 'g', 'protein']",Liking
Chobani Smooth,8,"color, consistency, no big chunks of fruit",-29.6,"['color', 'consistency', 'big', 'chunk', 'fruit']",Liking
Chobani Original,8,There is a lovely thickness to this product. I really liked the consistency and weight of it.  It  felt  like a substantial treat. The fruit flavor adds pops of interest.,94.22,"['lovely', 'thickness', 'product', 'really', 'liked', 'consistency', 'weight', 'felt', 'like', 'substantial', 'treat', 'fruit', 'flavor', 'add', 'pops', 'interest']",Liking
Chobani Smooth,8,"Texture, flavor and not having the fruit on the bottom",0,"['texture', 'flavor', 'fruit', 'bottom']",Liking
Chobani Original,7,i like that it is creamy and has big pieces of fruit,36.12,"['like', 'creamy', 'big', 'piece', 'fruit']",Liking
Chobani Smooth,8,"It  was smooth & Creamy, It had the right amount of sweetness and overall great flavor.",80.74,"['smooth', 'creamy', 'right', 'amount', 'sweetness', 'overall', 'great', 'flavor']",Liking
Chobani Original,8,creamy,0,['creamy'],Liking
Chobani Smooth,8,The taste is great!,65.88,"['taste', 'great']",Liking
Chobani Original,7,"Pieces of fruit were perfect size,  not too big and blended in well with the yogurt.",70.03,"['piece', 'fruit', 'perfect', 'size', 'big', 'blend', 'well', 'yogurt']",Liking
Chobani Smooth,8,creaminess with a little tang,0,"['creaminess', 'little', 'tang']",Liking
Chobani Original,8,"Non-GMO, live cultured robiotics good for digestion health, made w/real fruit, cane sugar, taste, texture.",44.04,"['nongmo', 'live', 'culture', 'robiotics', 'good', 'digestion', 'health', 'make', 'wreal', 'fruit', 'cane', 'sugar', 'taste', 'texture']",Liking
Chobani Smooth,7,Texture and flavor,0,"['texture', 'flavor']",Liking
Chobani Original,8,The taste & creaminess was very good. I like that there were some little chunks of strawberries so you could really tell there were berries in the yogurt.,71.59,"['taste', 'creaminess', 'good', 'like', 'little', 'chunk', 'strawberry', 'could', 'really', 'tell', 'berry', 'yogurt']",Liking
Chobani Smooth,8,"It's creamy, flavorful, (on the edge of) but not too sweet, fruity smelling and tasting, a bit tangy and affordable.",-49.73,"['creamy', 'flavorful', 'edge', 'sweet', 'fruity', 'smell', 'taste', 'bit', 'tangy', 'affordable']",Liking
Chobani Original,8,Thickness and great fruit flavor,62.49,"['thickness', 'great', 'fruit', 'flavor']",Liking
Chobani Smooth,4,I like the packaging,36.12,"['like', 'packaging']",Liking
Chobani Original,8,Good flavor and it was very smooth.,44.04,"['good', 'flavor', 'smooth']",Liking
Chobani Smooth,7,"I liked the overall strawberry flavor and that it was already mixed in, versus being fruit on the bottom that had to be stirred in. I also liked that it was so smooth and creamy. It was light, flavorful, and filling. It would make a great addition to a meal or a healthy snack.",90.81,"['like', 'overall', 'strawberry', 'flavor', 'already', 'mixed', 'versus', 'fruit', 'bottom', 'stir', 'also', 'like', 'smooth', 'creamy', 'light', 'flavorful', 'filling', 'would', 'make', 'great', 'addition', 'meal', 'healthy', 'snack']",Liking
Chobani Original,7,the amount of protein and had lots of flavor.,0,"['amount', 'protein', 'lot', 'flavor']",Liking
Chobani Smooth,7,I like the flavor and there was no after taste for me. The texture is nice and smooth.,47.67,"['like', 'flavor', 'taste', 'texture', 'nice', 'smooth']",Liking
Chobani Original,9,Good flavor and I like the fruit chunks.,65.97,"['good', 'flavor', 'like', 'fruit', 'chunk']",Liking
Chobani Smooth,2,The texture and color look good,44.04,"['texture', 'color', 'look', 'good']",Liking
Chobani Original,7,the flavor is good.,44.04,"['flavor', 'good']",Liking
Chobani Smooth,6,Strawberry flavor was good.  Also the tangyness of the greek yogurt was perfect.,76.5,"['strawberry', 'flavor', 'good', 'also', 'tangyness', 'greek', 'yogurt', 'perfect']",Liking
Chobani Original,9,It tastes like actual strawberries.  It's not unnaturally pink.  It's sweet enough.  The yogurt is easy to get at -- there's no lip to the container that you have to scoop under.,77.83,"['taste', 'like', 'actual', 'strawberry', 'unnaturally', 'pink', 'sweet', 'enough', 'yogurt', 'easy', 'get', 'there', 'lip', 'container', 'scoop']",Liking
Chobani Smooth,7,"Very smooth, low fat, small chunks of strawberry",-33.53,"['smooth', 'low', 'fat', 'small', 'chunk', 'strawberry']",Liking
Chobani Original,9,"Thick,  creamy, not too sweet with a slight tang, fruit on the bottom, with some pieces of fruit, container was big enough to mix the fruit with the yoghurt.",-35.7,"['thick', 'creamy', 'sweet', 'slight', 'tang', 'fruit', 'bottom', 'piece', 'fruit', 'container', 'big', 'enough', 'mix', 'fruit', 'yoghurt']",Liking
Chobani Smooth,1,"I liked the texture.  It was very smooth, there were not any chunks in it.  I also liked the  color of the product.  The  coloring seemed very natural.  The price of the product is very good too.",89.06,"['liked', 'texture', 'smooth', 'chunk', 'also', 'like', 'color', 'product', 'coloring', 'seem', 'natural', 'price', 'product', 'good']",Liking
Chobani Original,6,Texture of the yogurt,0,"['texture', 'yogurt']",Liking
Chobani Smooth,7,"The smooth, creamy texture.  The flavor was sweet, but no too sweet to be overpowering.",49.39,"['smooth', 'creamy', 'texture', 'flavor', 'sweet', 'sweet', 'overpowering']",Liking
Chobani Original,8,"it is thick and creamy, good flavor",44.04,"['thick', 'creamy', 'good', 'flavor']",Liking
Chobani Smooth,8,Very smooth and tasty.,0,"['smooth', 'tasty']",Liking
Chobani Original,8,Thick and creamy texture. Pleasant flavor. No after taste.,27.32,"['thick', 'creamy', 'texture', 'pleasant', 'flavor', 'taste']",Liking
Chobani Smooth,8,Very smooth and creamy.  Lowfat usually has a funny taste to me but this product did not.  The packaging is appealing and I like that the word smooth is highlighted.  I like the cost (2 for $1.75).,81.51,"['smooth', 'creamy', 'lowfat', 'usually', 'funny', 'taste', 'product', 'packaging', 'appeal', 'like', 'word', 'smooth', 'highlight', 'like', 'cost', '2', '175']",Liking
Chobani Original,7,The flavor of the yogurt is something that I enjoy the most.  The texture of the yogurt was smooth.,49.39,"['flavor', 'yogurt', 'something', 'enjoy', 'texture', 'yogurt', 'smooth']",Liking
Chobani Smooth,8,Has a good flavor and not too sweet.  Smooth texture like stated on the package.  Often non-greek yogurts taste so sugary and this one did not.,44.42,"['good', 'flavor', 'sweet', 'smooth', 'texture', 'like', 'state', 'package', 'often', 'nongreek', 'yogurt', 'taste', 'sugary', 'one']",Liking
Chobani Original,7,I liked the flavor of the yougart and the mix in stuff and the packaging of the product.,42.15,"['like', 'flavor', 'yougart', 'mix', 'stuff', 'packaging', 'product']",Liking
Chobani Smooth,7,it was very smooth,0,['smooth'],Liking
Chobani Original,8,The chunks of strawberry in it.,0,"['chunk', 'strawberry']",Liking
Chobani Smooth,8,Very creamy with chunks of real fruit.  11 grams of protein.,0,"['creamy', 'chunk', 'real', 'fruit', '11', 'gram', 'protein']",Liking
Chobani Original,8,The flavor is good and the texture is creamy.,44.04,"['flavor', 'good', 'texture', 'creamy']",Liking
Chobani Smooth,8,It really tasted like fresh strawberry.  There was a lot of pieces fruit in it. It was not chalky.,65.33,"['really', 'taste', 'like', 'fresh', 'strawberry', 'lot', 'piece', 'fruit', 'chalky']",Liking
Chobani Original,8,Strawberry flavor was perfect & I liked the thick consistency.,75.79,"['strawberry', 'flavor', 'perfect', 'like', 'thick', 'consistency']",Liking
Chobani Smooth,8,I love how it had a strong taste in flavor.,81.76,"['love', 'strong', 'taste', 'flavor']",Liking
Chobani Original,8,I love the texture and flavor of the yogurt.,63.69,"['love', 'texture', 'flavor', 'yogurt']",Liking
Chobani Smooth,6,Creamy texture.  Good portion size.,44.04,"['creamy', 'texture', 'good', 'portion', 'size']",Liking
Chobani Original,8,"It tasted really good.  Not too heavy of a strawberry taste, just enough",49.27,"['taste', 'really', 'good', 'heavy', 'strawberry', 'taste', 'enough']",Liking
Chobani Smooth,8,"It's smooth, creamy and easily blend able (mixing in the fruit with yogurt part).",34,"['smooth', 'creamy', 'easily', 'blend', 'able', 'mixing', 'fruit', 'yogurt', 'part']",Liking
Chobani Original,8,I enjoy the fruit at the bottom and overall the taste creamy and smooth.,49.39,"['enjoy', 'fruit', 'bottom', 'overall', 'taste', 'creamy', 'smooth']",Liking
Chobani Smooth,8,"the strawberry flavor was deep , II also texture - thick but not too thick",0,"['strawberry', 'flavor', 'deep', 'ii', 'also', 'texture', 'thick', 'thick']",Liking
Chobani Original,6,It has good flavor and good texture with the yogurt.,70.03,"['good', 'flavor', 'good', 'texture', 'yogurt']",Liking
Chobani Smooth,9,I like that it tastes smooth and creamy. The taste is really nice and I also like the thickness/density.,79.6,"['like', 'taste', 'smooth', 'creamy', 'taste', 'really', 'nice', 'also', 'like', 'thicknessdensity']",Liking
Chobani Original,7,I like the strawberry flavor and it is the right amount of sweet flavor. Creamy too.,67.05,"['like', 'strawberry', 'flavor', 'right', 'amount', 'sweet', 'flavor', 'creamy']",Liking
Chobani Smooth,7,"all natural, good flavor, smooth and creamy",65.97,"['natural', 'good', 'flavor', 'smooth', 'creamy']",Liking
Chobani Original,7,The taste,0,['taste'],Liking
Chobani Smooth,6,The flavor is pretty good. I like that it's high in protein and lower in fat and sugar than regular greek yogurt.,75.06,"['flavor', 'pretty', 'good', 'like', 'high', 'protein', 'lower', 'fat', 'sugar', 'regular', 'greek', 'yogurt']",Liking
Chobani Original,7,The yogurt is thick. The fruit flavor is good.,44.04,"['yogurt', 'thick', 'fruit', 'flavor', 'good']",Liking
Chobani Smooth,7,I liked how creamy it was and how the taste was consistent throughout the product. Like there wasn't any spots where it tasted like bland yogurt.,77.83,"['like', 'creamy', 'taste', 'consistent', 'throughout', 'product', 'like', 'wasnt', 'spot', 'taste', 'like', 'bland', 'yogurt']",Liking
Chobani Original,8,"I liked the strawberry flavor, it's very sweet, not tart,creamy.",72.64,"['like', 'strawberry', 'flavor', 'sweet', 'tartcreamy']",Liking
Chobani Smooth,8,"thickness of the yogurt, and the taste",0,"['thickness', 'yogurt', 'taste']",Liking
Chobani Original,8,"It had good flavor, creamy, no aftertaste that was bad",-42.15,"['good', 'flavor', 'creamy', 'aftertaste', 'bad']",Liking
Chobani Smooth,8,"creamy and the texture, good tast",44.04,"['creamy', 'texture', 'good', 'tast']",Liking
Chobani Original,8,"It's smooth and taste's like the natural strawberry flavor. Also, it had a good aftertaste.",78.45,"['smooth', 'taste', 'like', 'natural', 'strawberry', 'flavor', 'also', 'good', 'aftertaste']",Liking
Chobani Smooth,7,I liked the thickness and flavor of it.,42.15,"['liked', 'thickness', 'flavor']",Liking
Chobani Original,7,DIDN'T LEAVE A WEIRD AFTER TASTE IN MY MOUTH & IT WASN'T TOO TART,16.95,"['didnt', 'leave', 'weird', 'taste', 'mouth', 'wasnt', 'tart']",Liking
Chobani Smooth,9,"It has a very smooth texture, not powdery or clumpy.  I like that it only has natural coloringing.  I like that there isn't fruit on the bottom or fruit pieces in it, so I don't have to mix it before I eat it...I can just eat it!  It's not too sweet and it has the ideal strawberry flavor to it.  It's thick, so it feels like I'm eating greek yogurt.  The price is a good deal.",92.03,"['smooth', 'texture', 'powdery', 'clumpy', 'like', 'natural', 'color', 'like', 'isnt', 'fruit', 'bottom', 'fruit', 'piece', 'dont', 'mix', 'eat', 'iti', 'eat', 'sweet', 'ideal', 'strawberry', 'flavor', 'thick', 'feel', 'like', 'im', 'eat', 'greek', 'yogurt', 'price', 'good', 'deal']",Liking
Chobani Smooth,3,Creamy,0,['creamy'],Liking
Chobani Smooth,9,I like the flavor and the smoothness,36.12,"['like', 'flavor', 'smoothness']",Liking
Chobani Smooth,7,"packaging is very appealing, tasted pretty good for low fat",64.44,"['package', 'appeal', 'taste', 'pretty', 'good', 'low', 'fat']",Liking
Chobani Smooth,6,"Wide container cup design, real fruit pieces, texture, 25% less sugar 2x more protein advertised on product, Chobani smooth low-fat classic yogurt description",0,"['wide', 'container', 'cup', 'design', 'real', 'fruit', 'piece', 'texture', '25', 'less', 'sugar', '2x', 'protein', 'advertise', 'product', 'chobani', 'smooth', 'lowfat', 'classic', 'yogurt', 'description']",Liking
Chobani Smooth,5,Creamy texture.  Strawberry flavor.,0,"['creamy', 'texture', 'strawberry', 'flavor']",Liking
Chobani Smooth,7,"Flavor, consistancy",0,"['flavor', 'consistancy']",Liking
Chobani Smooth,8,"creamy, smooth",0,"['creamy', 'smooth']",Liking
Chobani Smooth,8,the creaminess of the yogurt.,0,"['creaminess', 'yogurt']",Liking
Chobani Smooth,8,"It is nice, smooth and thick texture.",42.15,"['nice', 'smooth', 'thick', 'texture']",Liking
Chobani Smooth,7,It is very smooth and creamy.,0,"['smooth', 'creamy']",Liking
Chobani Smooth,8,"great flavor, smooth and easy to eat",79.06,"['great', 'flavor', 'smooth', 'easy', 'eat']",Liking
Chobani Smooth,3,I liked the shape of the bowl/container.  It was easier to eat out of and I felt like I had more yogurt than the Yoplait I usually have.,79.64,"['liked', 'shape', 'bowlcontainer', 'easy', 'eat', 'felt', 'like', 'yogurt', 'yoplait', 'usually']",Liking
Chobani Smooth,8,Right amount of strawberry flavor.,0,"['right', 'amount', 'strawberry', 'flavor']",Liking
Chobani Smooth,8,"Perfect size for a snack, also easy to use container for children. I refilled it for my little one and there was no spills.",65.97,"['perfect', 'size', 'snack', 'also', 'easy', 'use', 'container', 'child', 'refill', 'little', 'one', 'spill']",Liking
Chobani Smooth,7,"It wasn't overly sweet, had a light texture to it.",-35.7,"['wasnt', 'overly', 'sweet', 'light', 'texture']",Liking
Chobani Smooth,9,"very smooth, great taste.  Love the tartness, it's a little subtle but definitely there",81.48,"['smooth', 'great', 'taste', 'love', 'tartness', 'little', 'subtle', 'definitely']",Liking
Chobani Smooth,7,Flavor,0,['flavor'],Liking
Chobani Smooth,8,texture and taste,0,"['texture', 'taste']",Liking
Chobani Smooth,4,the creamy texture,0,"['creamy', 'texture']",Liking
Chobani Smooth,7,it is smooth and texture is good,44.04,"['smooth', 'texture', 'good']",Liking
Chobani Smooth,9,taste and smoothness,0,"['taste', 'smoothness']",Liking
Chobani Smooth,8,The texture is smooth and it was very flavorful. The strawberries were good too,44.04,"['texture', 'smooth', 'flavorful', 'strawberry', 'good']",Liking
Chobani Smooth,8,"good taste, smooth consistency. not too tart",44.04,"['good', 'taste', 'smooth', 'consistency', 'tart']",Liking
Chobani Smooth,7,Tastes pretty good. I like strawberry.,82.25,"['taste', 'pretty', 'good', 'like', 'strawberry']",Liking
Chobani Smooth,8,Smooth texture and good strawberry taste.,44.04,"['smooth', 'texture', 'good', 'strawberry', 'taste']",Liking
Chobani Smooth,8,It is smooth and creamy. It has a good strawberry flavor.,44.04,"['smooth', 'creamy', 'good', 'strawberry', 'flavor']",Liking
Chobani Smooth,7,It tasted like greek yogurt but it wasn't. It wasn't quite as thick as a greek yogurt.,19.01,"['taste', 'like', 'greek', 'yogurt', 'wasnt', 'wasnt', 'quite', 'thick', 'greek', 'yogurt']",Liking
Chobani Smooth,7,Lot's of strawberry flavor and was not tart at all.,0,"['lot', 'strawberry', 'flavor', 'tart']",Liking
Chobani Smooth,7,"Good taste, not bland.",44.04,"['good', 'taste', 'bland']",Liking
Chobani Smooth,3,The creaminess,0,['creaminess'],Liking
Chobani Smooth,7,#NAME?,0,['name'],Liking
Chobani Smooth,7,creamy texture,0,"['creamy', 'texture']",Liking
Chobani Smooth,8,It's texture and taste,0,"['texture', 'taste']",Liking
Chobani Smooth,8,"Creamy,lots of fruit",0,"['creamylots', 'fruit']",Liking
Chobani Smooth,7,It was mostly smooth. I got 2 small chunks. I like the 11 gm of protein. It's lowfat.,36.12,"['mostly', 'smooth', 'get', '2', 'small', 'chunk', 'like', '11', 'gm', 'protein', 'lowfat']",Liking
Chobani Smooth,2,not lumpy,0,['lumpy'],Liking
Chobani Smooth,8,This product was creamy and a great color.,62.49,"['product', 'creamy', 'great', 'color']",Liking
Chobani Smooth,3,creamy,0,['creamy'],Liking
Chobani Smooth,6,good strawberry flavor,44.04,"['good', 'strawberry', 'flavor']",Liking
Chobani Smooth,9,I really like how smooth and creamy it is.,42.01,"['really', 'like', 'smooth', 'creamy']",Liking
Chobani Smooth,3,smell and color,0,"['smell', 'color']",Liking
Chobani Smooth,7,"I thought that the taste was very good, not too sweet.",18.11,"['think', 'taste', 'good', 'sweet']",Liking
